N	3gram	Propp_Russ_1	Analitik
1	в том что	15	7
2	по отношению к	1	7
3	о том что	4	5
4	в свою очередь	2	4
5	как и в	1	4
6	и того же	1	3
7	в данном случае	1	3
8	и а а	1	3
9	одного и того	1	3
10	в этом отношении	1	3
11	подобно тому как	1	2
12	с точки зрения	3	2
13	в отличие от	1	2
14	тем не менее	3	2
15	во всяком случае	1	2
16	в этом ряду	1	2
17	можно сказать что	1	2
18	совершенно очевидно что	1	2
19	пишет об этом	1	1
20	что иное как	2	1
21	хотя и не	1	1
22	он так и	1	1
23	к этому же	2	1
24	не только по	2	1
25	на самом деле	1	1
26	в этом случае	5	1
27	но это все	1	1
28	состояла в том	1	1
29	и он же	1	1
30	былинах и в	1	1
31	в таком случае	1	1
32	на этот вопрос	1	1
33	значении этого слова	1	1
34	но и как	1	1
35	тогда как в	1	1
36	здесь мы имеем	1	1
37	не только в	1	1
38	по своему происхождению	1	1
39	в равной степени	2	1
40	нуждается в дальнейшем	1	1
41	и как бы	1	1
42	всяком случае не	1	1
43	это все же	1	1
44	в связи с	4	1
45	не только как	1	1
46	в былинах и	1	1
47	в тех случаях	1	1
48	о чем свидетельствует	1	1
49	в одном из	1	1
50	вопрос о том	1	1
51	и каким образом	1	1
52	между тем это	1	1
53	с этого момента	2	1
54	в этой роли	1	1
55	тех случаях когда	1	1
56	свое внимание на	1	1
57	в большинстве случаев	2	1
58	можно судить по	1	1
59	не что иное	2	1
60	в особенности же	1	1
61	во многих отношениях	1	1
62	а в тех	1	1
63	что и в	1	1
