N	3gram	Losev_Dial_1	Sotsiolo
1	в том что	7	2
2	дело не в	1	2
3	в конце концов	3	2
4	не в том	1	2
5	все же это	1	1
6	это и есть	2	1
7	а между тем	1	1
8	и в этом	3	1
9	только то что	3	1
10	по крайней мере	4	1
11	то же самое	1	1
12	как то что	1	1
13	сама по себе	8	1
14	все это происходит	1	1
15	не было бы	2	1
16	друг от друга	1	1
17	в то же	4	1
18	что все это	1	1
19	и стало быть	2	1
20	в связи с	1	1
21	эти два или	1	1
22	ни на что	2	1
23	еще недостаточно глубоко	1	1
24	а в том	1	1
25	то же время	4	1
26	ровно ничего не	3	1
27	это происходит не	1	1
28	не должна быть	2	1
29	и в то	2	1
30	с одной стороны	2	1
31	во всяком случае	2	1
