N	2gram	Vinokur_St_2	IolandNe
1	и с	4	3
2	и не	9	2
3	в этом	21	2
4	он не	9	2
5	что в	19	2
6	самого себя	1	2
7	ничего не	4	2
8	бы что	1	2
9	все это	11	1
10	нисколько не	1	1
11	такая мелочь	1	1
12	и др	2	1
13	и тот	1	1
14	и в	29	1
15	только что	2	1
16	и о	4	1
17	у всех	2	1
18	в эту	3	1
19	с жизнью	1	1
20	я не	7	1
21	то и	1	1
22	а по	1	1
23	бы в	1	1
24	более чем	1	1
25	того же	2	1
26	жил в	1	1
27	было не	1	1
28	с другой	4	1
29	это было	2	1
30	а в	1	1
31	вплоть до	1	1
32	доказать что	2	1
33	того что	5	1
34	и создавал	1	1
35	не дает	2	1
36	и без	1	1
37	это был	2	1
38	в руки	1	1
39	пушкина и	9	1
40	а с	3	1
41	другой стороны	3	1
42	творчества пушкина	1	1
43	и еще	1	1
44	в первую	1	1
45	не так	1	1
46	для него	4	1
47	а также	2	1
48	в основе	1	1
49	что для	1	1
50	что при	1	1
51	в значительной	2	1
52	говорить о	1	1
53	могло бы	1	1
54	и сам	2	1
55	отношению к	1	1
56	неудивительно что	3	1
57	так и	9	1
58	бы его	1	1
59	он с	1	1
60	литература о	1	1
61	того чтобы	6	1
62	на памяти	1	1
63	первую очередь	1	1
64	во многом	2	1
65	не случайно	1	1
66	никогда не	3	1
67	жизни и	1	1
68	и очень	1	1
69	тем что	3	1
70	по поводу	8	1
71	по отношению	1	1
72	очевидно что	2	1
73	в них	2	1
74	все эти	2	1
75	знакомство с	1	1
76	по существу	2	1
77	что роман	1	1
78	знать и	1	1
79	если бы	2	1
80	для того	7	1
81	другое дело	3	1
