N	2gram	Bakhtin_fo_2	Otkroven
1	у него	9	22
2	человеческой природы	2	20
3	и в	46	19
4	но и	9	13
5	и не	9	13
6	в этом	22	12
7	человека в	6	11
8	не в	9	11
9	не только	11	11
10	может быть	7	11
11	а не	4	11
12	человека и	4	10
13	вопрос о	1	10
14	в нем	5	10
15	и все	6	10
16	в самой	2	9
17	прежде всего	14	9
18	не было	3	9
19	никогда не	6	9
20	потому что	8	9
21	он был	2	8
22	и он	4	8
23	он всегда	1	7
24	в его	8	7
25	человек не	2	7
26	он не	5	7
27	лишь в	2	7
28	до конца	2	7
29	ни с	1	7
30	но он	2	7
31	как и	8	6
32	все это	6	6
33	отношение к	3	5
34	в том	10	5
35	в самом	1	5
36	в этой	2	5
37	для него	3	5
38	раскрывается в	1	5
39	о его	2	5
40	а в	3	5
41	то что	7	5
42	он сам	1	4
43	с его	1	4
44	все в	2	4
45	все эти	5	4
46	него и	2	4
47	на земле	2	4
48	что не	1	4
49	не может	2	4
50	того чтобы	8	4
51	и его	12	4
52	что в	5	4
53	и есть	2	3
54	о том	4	3
55	еще не	6	3
56	человек был	1	3
57	было бы	2	3
58	того что	3	3
59	когда он	1	3
60	что он	3	3
61	и ее	1	3
62	в себе	4	3
63	о природе	1	3
64	и вот	2	3
65	не могут	1	3
66	для того	8	3
67	это было	1	3
68	это не	2	3
69	могут быть	2	3
70	как бы	10	3
71	с ним	4	3
72	и от	2	3
73	в этих	3	3
74	все что	2	3
75	и с	6	2
76	и то	1	2
77	в ее	1	2
78	этого мира	2	2
79	так и	7	2
80	и о	2	2
81	по себе	2	2
82	вместо того	1	2
83	их не	2	2
84	и на	7	2
85	совсем не	2	2
86	что и	3	2
87	что они	4	2
88	в истории	4	2
89	в своем	5	2
90	все же	6	2
91	и к	2	2
92	в этот	3	2
93	и потому	2	2
94	должен был	1	2
95	и этим	1	2
96	в которой	1	2
97	в уста	2	2
98	учение о	1	2
99	так что	4	2
100	ничего и	1	2
101	уже в	4	2
102	с чем	1	2
103	же это	1	2
104	ведь это	1	2
105	он весь	1	2
106	так как	6	2
107	этом мире	6	2
108	тем что	3	2
109	момент в	1	2
110	образ человека	2	2
111	в другом	3	2
112	его в	6	2
113	сказать что	1	2
114	с тем	2	2
115	было для	1	2
116	чем в	1	2
117	для человека	1	2
118	должно быть	5	2
119	него не	1	2
120	том что	4	2
121	что есть	1	2
122	для всякого	1	2
123	к этому	3	2
124	не могли	3	2
125	в человеческом	1	2
126	своей жизни	2	2
127	с которой	1	2
128	не имеет	1	2
129	и для	9	2
130	и ни	1	2
131	потребность в	1	2
132	жизни в	4	2
133	в глубину	1	2
134	в своей	1	2
135	что все	2	2
136	всего в	3	2
137	хотя и	3	2
138	ее в	3	2
139	но в	10	2
140	всегда в	1	1
141	смысле слова	2	1
142	и это	2	1
143	и самое	4	1
144	кто бы	1	1
145	отношения к	4	1
146	в обычном	1	1
147	также и	4	1
148	например в	1	1
149	мире это	1	1
150	чтобы не	1	1
151	и действительно	1	1
152	в виду	3	1
153	на самом	1	1
154	свои силы	1	1
155	характер и	1	1
156	тем же	2	1
157	чего не	1	1
158	из самых	2	1
159	это для	1	1
160	и до	2	1
161	бытия человека	1	1
162	не имеют	1	1
163	быть осуществлено	1	1
164	должна быть	1	1
165	и больше	1	1
166	видеть в	1	1
167	есть не	1	1
168	в борьбе	3	1
169	и каждый	1	1
170	же принадлежит	1	1
171	мы не	1	1
172	том как	3	1
173	ту же	2	1
174	по сравнению	1	1
175	связан с	1	1
176	эпоху возрождения	3	1
177	если бы	1	1
178	в эпоху	4	1
179	один человек	1	1
180	для раскрытия	2	1
181	в сущности	2	1
182	находится в	2	1
183	ее у	1	1
184	жизни как	2	1
185	очищения и	1	1
186	и гармонии	1	1
187	изображена в	1	1
188	другом месте	2	1
189	гибели и	1	1
190	но к	1	1
191	в ней	1	1
192	в народном	1	1
193	и что	1	1
194	в глаза	1	1
195	его жизни	4	1
196	человеческие отношения	2	1
197	все его	4	1
198	вечной жизни	1	1
199	вопросу о	4	1
200	своих героев	1	1
201	каждом из	2	1
202	вовлечены в	1	1
203	самом деле	1	1
204	что люди	1	1
205	доходит до	1	1
206	и вопрос	1	1
207	не проваливается	1	1
208	но не	5	1
209	мира по	2	1
210	и постановка	1	1
211	и положительное	1	1
212	романов есть	1	1
213	с трудом	1	1
214	сравнению с	1	1
215	нуждается в	1	1
216	когда дело	1	1
217	себе и	1	1
218	говорит он	1	1
219	в форме	3	1
220	диккенса и	1	1
221	которой все	1	1
222	которой в	1	1
223	что во	1	1
224	в одной	2	1
225	так для	1	1
226	как в	4	1
227	что как	1	1
228	в частности	5	1
229	вовлекают в	1	1
230	он что	1	1
231	человека вообще	1	1
232	один из	2	1
233	и как	3	1
234	дается в	2	1
235	речь о	1	1
236	ли он	1	1
237	силе и	1	1
238	от этого	2	1
239	то в	2	1
240	человеком в	1	1
241	бы и	1	1
242	самой природе	1	1
243	от бога	1	1
244	вопрос об	1	1
245	его а	1	1
246	со всеми	2	1
247	только один	2	1
248	уже не	3	1
249	ее как	1	1
250	и вечной	1	1
251	разрешения ее	1	1
252	образа человека	1	1
253	а вовсе	1	1
254	еще одну	1	1
255	бы ни	1	1
256	на этих	1	1
257	сказать в	1	1
258	и других	2	1
259	да и	1	1
260	жизненных форм	1	1
261	из них	8	1
262	после этого	2	1
263	ключ к	1	1
264	мир в	4	1
265	они в	1	1
266	свой собственный	1	1
267	был бы	1	1
268	в корне	2	1
269	в одном	7	1
270	вовсе не	13	1
271	и сам	1	1
272	из него	1	1
273	людей и	2	1
274	этом отношении	2	1
275	вещей и	7	1
276	он находился	1	1
277	свобода человека	1	1
278	в каждом	1	1
279	ни был	1	1
280	и характер	1	1
281	в совершенно	3	1
282	там это	1	1
283	подчеркнуть еще	1	1
284	и даже	3	1
285	по силе	1	1
286	и человека	1	1
287	интерес к	1	1
288	как у	3	1
289	совершенно ином	1	1
290	он ни	1	1
291	и прежде	3	1
292	а это	1	1
293	лишь на	1	1
294	развития эти	1	1
295	в это	3	1
296	смерть и	8	1
297	и пр	2	1
298	этого она	1	1
299	которой нет	1	1
300	в них	7	1
301	этого слова	1	1
302	попал в	1	1
303	на этот	1	1
304	стремится к	1	1
305	и самый	2	1
306	и раскрыть	1	1
307	соотношений и	1	1
308	человек в	2	1
309	о чем	3	1
310	бога и	2	1
311	в мире	4	1
312	и тогда	1	1
313	нисколько не	1	1
314	народа и	1	1
315	под влиянием	1	1
316	мира в	3	1
317	в царстве	2	1
318	он и	1	1
319	видели в	1	1
320	начиная с	1	1
321	все основные	2	1
322	его как	1	1
323	как это	2	1
324	в котором	4	1
325	одном из	2	1
326	возрождения но	1	1
327	плоти и	2	1
328	в поэме	1	1
329	есть на	1	1
330	это есть	1	1
331	всегда является	1	1
332	над ними	2	1
333	вокруг образа	1	1
334	что было	3	1
335	видно что	1	1
336	и более	2	1
337	в конце	2	1
338	друг с	4	1
339	в человеческой	1	1
340	свободной и	1	1
341	и мрак	1	1
342	распадается на	1	1
343	он раскрывает	1	1
344	нет никакого	1	1
345	любви и	1	1
346	в отношении	2	1
347	и здесь	1	1
348	но это	2	1
349	их во	1	1
350	оба они	1	1
351	на своем	1	1
352	она не	2	1
353	дело в	1	1
354	одна из	1	1
355	на два	1	1
356	не по	1	1
357	указать на	1	1
358	отец его	1	1
359	отречения от	1	1
360	в пределе	1	1
361	самой жизни	3	1
362	он за	1	1
