N	3gram	Potebnia_M_3	Istorich
1	и т д	3	18
2	с другой стороны	4	8
3	с одной стороны	3	7
4	вместе с тем	4	6
5	о том что	1	4
6	тем не менее	3	4
7	но вместе с	2	3
8	не может быть	3	3
9	после того как	1	3
10	для того чтобы	3	3
11	потому что он	3	2
12	по отношению к	5	2
13	до сих пор	3	2
14	в таких случаях	1	2
15	в данном случае	1	2
16	в том чтобы	2	2
17	если бы мы	1	2
18	не только в	4	2
19	но и в	4	2
20	то же в	1	2
21	это значит что	1	2
22	мы не знаем	2	2
23	и таким образом	1	2
24	друг с другом	1	2
25	в том что	16	2
26	на то что	1	2
27	как и в	2	2
28	что и в	3	2
29	с тем мы	1	1
30	по себе не	1	1
31	мере того как	3	1
32	как для него	1	1
33	а не в	1	1
34	это было бы	1	1
35	из того что	1	1
36	на самом деле	1	1
37	и вслед за	1	1
38	по мере того	3	1
39	одной стороны и	1	1
40	только в том	3	1
41	сам по себе	5	1
42	и тем что	1	1
43	что он не	3	1
44	что не только	1	1
45	состоит не в	1	1
46	то же время	5	1
47	не сам по	1	1
48	мы должны будем	2	1
49	то это было	1	1
50	не менее она	1	1
51	для нас это	1	1
52	то время как	1	1
53	и многие другие	1	1
54	том смысле в	1	1
55	не в том	5	1
56	может быть не	1	1
57	что у царя	1	1
58	только один из	1	1
59	смысле в каком	2	1
60	потому что в	1	1
61	вряд ли возможно	1	1
62	только после того	1	1
63	носит в себе	1	1
64	в одно целое	1	1
65	и в других	1	1
66	в сказке о	1	1
67	и в таком	1	1
68	каждого из них	1	1
69	таким образом в	1	1
70	в одно время	1	1
71	но тем не	2	1
72	в то время	4	1
73	в свою очередь	3	1
74	само по себе	3	1
75	и тем самым	1	1
76	в самом деле	1	1
77	подобно тому как	2	1
78	связано то что	1	1
79	можно сказать что	2	1
80	не было ни	1	1
81	в то же	5	1
82	в том смысле	3	1
83	то же что	4	1
84	здесь как и	1	1
85	только тогда когда	7	1
86	как мы видели	1	1
87	ему в то	1	1
88	в ней самой	1	1
89	вне связи с	1	1
