N	3gram	Nazirov_Tv_1	EvropaiC
1	в том что	6	16
2	до сих пор	1	12
3	по отношению к	1	10
4	на самом деле	2	7
5	в этой области	1	4
6	к тому же	1	4
7	с другой стороны	1	4
8	о том что	5	4
9	тем не менее	2	4
10	в конце концов	1	4
11	и того же	1	3
12	не может не	1	3
13	в настоящее время	1	3
14	одного и того	1	3
15	в том же	1	3
16	в данном случае	2	3
17	в связи с	1	3
18	заключается в том	1	3
19	заметим кстати что	1	2
20	что же касается	1	2
21	только то что	1	2
22	бы то ни	1	2
23	он не может	1	2
24	заключает в себе	1	2
25	то же время	12	2
26	вместе с тем	1	2
27	то ни было	1	2
28	с одной стороны	1	2
29	как и в	1	2
30	в свою очередь	1	2
31	в то же	13	2
32	с большим трудом	1	1
33	хотя и не	1	1
34	еще далеко не	1	1
35	мы уже говорили	1	1
36	между прочим в	1	1
37	образом и в	1	1
38	дело в том	3	1
39	но при этом	1	1
40	их взаимоотношения в	1	1
41	в этом пункте	1	1
42	то же самое	1	1
43	все та же	1	1
44	друг на друга	1	1
45	является одним из	2	1
46	у него в	1	1
47	а может быть	1	1
48	за то что	1	1
49	это имеет место	1	1
50	точно так же	2	1
51	в мире не	1	1
52	по крайней мере	2	1
53	уже говорили что	1	1
54	а как бы	1	1
55	в ту же	1	1
56	на деле это	1	1
57	таким образом и	1	1
58	но в целом	1	1
59	на первый взгляд	1	1
60	в разные стороны	1	1
61	университет историко-филологический факультет	1	1
62	что он сам	1	1
63	так и от	1	1
64	что у него	1	1
65	я не могу	1	1
66	и все же	3	1
67	с самого начала	3	1
68	но даже в	1	1
69	что в современной	1	1
70	к тому что	1	1
71	важную роль в	1	1
72	отличие от современных	1	1
