N	3gram	Tiupa_Anal_3	Dialekti
1	по крайней мере	4	9
2	с точки зрения	2	8
3	сама по себе	2	7
4	не есть ни	1	6
5	в том что	7	6
6	в связи с	1	4
7	то же время	3	4
8	о том что	5	4
9	с другой стороны	5	4
10	и может быть	1	3
11	что иное как	1	3
12	в самом деле	1	3
13	в таком случае	1	3
14	в то же	3	3
15	сам по себе	1	3
16	не что иное	1	3
17	не может быть	1	3
18	можно сказать что	2	3
19	не нуждается в	1	3
20	крайней мере в	2	2
21	в той или	1	2
22	как бы ни	1	2
23	до сих пор	1	2
24	в зависимости от	1	2
25	говоря уже о	1	2
26	с тех пор	1	2
27	в данном случае	3	2
28	не только в	1	2
29	тем не менее	2	2
30	не могут быть	1	2
31	так или иначе	1	2
32	во всяком случае	2	2
33	есть не что	1	2
34	не должно быть	1	2
35	само по себе	1	2
36	и прежде всего	2	2
37	не говоря уже	1	2
38	что несмотря на	2	1
39	должно быть ни	1	1
40	и к ним	1	1
41	на самом деле	1	1
42	подобно тому как	2	1
43	в этом смысле	1	1
44	нет никакой возможности	1	1
45	так и его	2	1
46	что в общем	1	1
47	но о событиях	1	1
48	и далее в	1	1
49	в этом отношении	3	1
50	также что в	1	1
51	со всех сторон	1	1
52	и жениться на	1	1
53	ту или иную	1	1
54	как раз в	1	1
55	что не есть	1	1
56	совершенно не было	1	1
57	не в том	1	1
58	с одной стороны	2	1
59	мы имеем не	1	1
60	и в этой	1	1
61	при всей своей	1	1
62	в свое время	2	1
63	того или иного	1	1
64	и как бы	1	1
65	крайней мере не	1	1
66	заключается в том	1	1
67	во многих отношениях	1	1
68	что и в	1	1
69	вопрос о том	1	1
70	той или иной	3	1
71	речь идет о	1	1
72	до тех пор	1	1
73	может и не	1	1
74	то что они	1	1
75	дело не в	1	1
76	том что он	2	1
77	к тому же	3	1
78	по себе а	1	1
79	обратим внимание на	1	1
80	в отдельности и	1	1
