N	3gram	Ircho_Kome_2	SlovoVZh
1	по отношению к	3	11
2	не может быть	1	7
3	в том что	5	4
4	тем не менее	1	3
5	бы то ни	2	3
6	до сих пор	2	3
7	имеет в виду	1	3
8	то ни было	2	3
9	с другой стороны	1	2
10	с точки зрения	1	2
11	мы можем сказать	1	2
12	с одной стороны	2	2
13	в так называемой	1	1
14	нуждается в предварительном	1	1
15	но все же	1	1
16	как например в	1	1
17	так как будто	1	1
18	имеем дело с	1	1
19	на второй план	1	1
20	мы имеем дело	1	1
21	то время как	2	1
22	более или менее	1	1
23	во всяком случае	2	1
24	одна и та	1	1
25	в самом деле	1	1
26	вовсе не отражает	1	1
27	в этом смысле	2	1
28	в то время	3	1
29	в частности в	2	1
30	сих пор не	1	1
31	у нее не	1	1
32	но уже в	1	1
33	в свою очередь	1	1
34	но и в	1	1
35	и та же	1	1
36	берет на себя	2	1
37	о том что	4	1
38	не обходится без	1	1
39	с самого начала	1	1
40	можно было бы	2	1
41	то же время	3	1
42	в то же	3	1
43	он имеет в	1	1
44	в каком направлении	1	1
45	и на события	1	1
46	к тому же	10	1
47	может быть более	1	1
48	в том же	1	1
