N	2gram	Propp_Isto_4	slovoVRo
1	и в	26	39
2	может быть	14	37
3	и т	27	35
4	и его	10	33
5	не только	15	24
6	и не	9	22
7	но и	12	21
8	не может	6	20
9	в нем	2	19
10	в этом	7	16
11	все это	2	16
12	так и	10	15
13	а не	6	14
14	как в	7	13
15	в пределах	1	13
16	во всех	1	12
17	в истории	2	11
18	вовсе не	4	10
19	к своему	3	9
20	и с	5	9
21	не в	5	9
22	со своим	1	9
23	таким образом	10	8
24	себя в	2	8
25	прежде всего	1	8
26	точки зрения	1	8
27	еще не	6	7
28	в него	1	7
29	при этом	3	7
30	в этих	7	7
31	с ним	1	7
32	никогда не	2	7
33	могут быть	6	7
34	как мы	5	7
35	в его	5	7
36	и даже	4	7
37	как бы	3	7
38	но не	5	6
39	в своем	2	6
40	все же	9	6
41	и к	1	6
42	но в	5	6
43	все эти	3	6
44	в них	1	6
45	как и	7	6
46	она не	3	6
47	в большинстве	1	6
48	человек в	1	6
49	там где	3	6
50	этом случае	3	6
51	жизни и	1	6
52	например в	3	5
53	человека в	1	5
54	это не	5	5
55	том что	3	5
56	по себе	2	5
57	не могут	2	5
58	но все	5	5
59	с другой	4	5
60	один из	1	5
61	в том	3	5
62	с ними	5	5
63	конечно не	2	5
64	уже не	5	5
65	и их	2	5
66	большинстве случаев	1	5
67	только в	3	5
68	для нас	3	5
69	от него	2	5
70	и все	2	5
71	и наконец	1	5
72	в зависимости	1	4
73	и на	2	4
74	отношение к	2	4
75	сливается с	2	4
76	связанные с	3	4
77	всех этих	1	4
78	в узком	1	4
79	то же	8	4
80	его в	9	4
81	ни в	2	4
82	не менее	2	4
83	в то	1	4
84	одна из	2	4
85	в основе	1	4
86	во всем	3	4
87	зависимости от	1	4
88	здесь не	4	4
89	для этого	1	4
90	но здесь	1	4
91	и других	3	4
92	так как	9	4
93	этой категории	1	4
94	даже и	2	4
95	и др	5	4
96	с помощью	2	4
97	узком смысле	1	4
98	в основном	1	4
99	как предмет	1	4
100	а в	8	4
101	как это	3	3
102	должна быть	2	3
103	той же	1	3
104	в чем	1	3
105	слова на	1	3
106	перед нами	3	3
107	и как	5	3
108	и социальной	1	3
109	на этом	2	3
110	лишь в	2	3
111	не была	1	3
112	его от	2	3
113	связи с	3	3
114	действует в	1	3
115	в ней	1	3
116	а также	3	3
117	к нему	6	3
118	что и	9	3
119	в свете	3	3
120	быть и	1	3
121	у него	5	3
122	в особенности	2	3
123	связан с	3	3
124	здесь в	1	3
125	в некоторых	5	3
126	связано с	1	3
127	материал в	1	3
128	и там	2	3
129	как к	1	3
130	но это	3	3
131	что в	14	3
132	хотя бы	2	3
133	сказать что	2	3
134	одновременно и	1	3
135	героя в	7	3
136	одним из	1	2
137	это и	5	2
138	мы уже	5	2
139	на материале	1	2
140	мы не	1	2
141	именно к	1	2
142	но она	1	2
143	с ее	1	2
144	на них	1	2
145	его так	1	2
146	но как	1	2
147	не все	1	2
148	с этим	2	2
149	испытание на	1	2
150	хотя и	2	2
151	в себе	2	2
152	роль в	1	2
153	как он	6	2
154	очень велико	1	2
155	на его	3	2
156	т д	24	2
157	он не	7	2
158	в виде	2	2
159	и более	3	2
160	и связанные	1	2
161	из него	1	2
162	людей и	1	2
163	в нее	1	2
164	в свой	2	2
165	независимо от	1	2
166	мы видели	6	2
167	и другие	3	2
168	и при	3	2
