N	3gram	Losev_Vesc_1	StatiiOP
1	в том что	4	11
2	не может быть	6	5
3	по крайней мере	4	4
4	с точки зрения	3	4
5	в этом отношении	1	4
6	то время как	1	4
7	во всяком случае	2	4
8	с другой стороны	2	4
9	о том что	4	4
10	в то время	1	4
11	с тем что	1	3
12	в конце концов	2	3
13	не в том	1	3
14	не только в	4	3
15	на то что	2	3
16	в то же	1	3
17	только в виде	1	2
18	вы знаете что	1	2
19	то что я	2	2
20	что мы имеем	1	2
21	и тем не	1	2
22	до сих пор	1	2
23	и не в	1	2
24	в том чтобы	1	2
25	с одной стороны	3	2
26	заключается в том	1	2
27	что это есть	3	2
28	только тогда когда	2	2
29	к тому что	2	2
30	в том смысле	1	2
31	тем не менее	3	2
32	независимо от того	1	2
33	и т д	19	2
34	можно сказать что	3	1
35	не может не	1	1
36	независимо от других	1	1
37	и пр но	1	1
38	со стороны ее	1	1
39	но так как	1	1
40	между прочим и	1	1
41	более или менее	1	1
42	но то что	1	1
43	в самом деле	4	1
44	каждой из них	1	1
45	т е не	2	1
46	того или другого	1	1
47	то же самое	1	1
48	тот или иной	1	1
49	сам по себе	3	1
50	является т е	1	1
51	вместе с тем	1	1
52	и во всяком	1	1
53	в собственном смысле	2	1
54	и не потому	1	1
55	можно было бы	1	1
56	с этой точки	1	1
57	и в частности	1	1
58	как раз в	1	1
59	в применении к	1	1
60	же т е	3	1
61	в самом начале	1	1
62	не потому что	4	1
63	сих пор мы	1	1
64	крайней мере три	1	1
65	и что он	1	1
66	того что в	1	1
67	в чем же	3	1
68	была бы совершенно	1	1
69	так или иначе	4	1
70	с ним и	1	1
71	которая была бы	1	1
72	все что мы	1	1
73	они как раз	1	1
74	это совершенно ясно	1	1
75	в той или	2	1
76	мы подходим к	1	1
77	ни на что	1	1
78	в свое время	2	1
79	она является т	1	1
80	этой точки зрения	1	1
81	от того что	1	1
82	том смысле что	1	1
83	в одно целое	1	1
84	знать что именно	1	1
85	и что такое	1	1
86	в свою очередь	4	1
87	что у него	1	1
88	и в самом	1	1
89	не только не	2	1
90	в общем итоге	1	1
91	вообще с точки	1	1
92	тому как мы	1	1
93	вопрос о том	1	1
94	и больше ничего	8	1
95	это однако не	1	1
96	для того чтобы	2	1
97	не вдаваясь в	1	1
98	что в ней	1	1
99	я это делаю	1	1
