N	3gram	Tiupa_Hudo_2	Russkaja
1	то же время	4	10
2	в то же	4	10
3	с точки зрения	2	9
4	в том что	11	7
5	для того чтобы	3	6
6	а между тем	3	5
7	до сих пор	2	5
8	бы то ни	1	4
9	в том случае	1	4
10	не может быть	3	4
11	то ни стало	1	3
12	во что бы	1	3
13	в этом случае	1	3
14	том случае если	1	3
15	можно было бы	2	3
16	и то что	1	3
17	что бы то	1	3
18	в данном случае	2	3
19	той или иной	1	3
20	точно так же	1	2
21	в настоящее время	1	2
22	только в том	2	2
23	что он не	1	2
24	о том чтобы	1	2
25	с самим собой	1	2
26	в противоречие с	1	2
27	противоречие с самим	1	2
28	и в том	1	2
29	лишь в том	1	2
30	того или иного	2	2
31	о том что	7	2
32	и не будет	1	2
33	друг от друга	1	2
34	к тому что	4	2
35	этом и состоит	1	1
36	и в жизни	1	1
37	состоит в том	2	1
38	в остальное время	1	1
39	дело в том	1	1
40	по отношению к	7	1
41	в самом деле	3	1
42	в этой роли	1	1
43	в том числе	1	1
44	то же самое	2	1
45	и то и	1	1
46	и в других	1	1
47	в этом отношении	1	1
48	что не только	1	1
49	в его жизни	1	1
50	том числе и	1	1
51	тот или иной	1	1
52	тем в этом	1	1
53	то и другое	1	1
54	нельзя упускать из	1	1
55	только для того	1	1
56	ни одна не	1	1
57	к себе и	1	1
58	в значительной степени	1	1
59	сводится к тому	1	1
60	то все они	1	1
61	сбросить с себя	1	1
62	тем что он	1	1
63	но при этом	3	1
64	и в этом	2	1
65	своей жизни в	1	1
66	не только для	1	1
67	приносится в жертву	1	1
68	сих пор мы	1	1
69	так же как	2	1
70	об этом и	1	1
71	без того чтобы	1	1
72	она могла бы	1	1
73	а в том	1	1
74	и все же	1	1
75	с нею в	1	1
76	заключается в том	1	1
77	в этом и	2	1
78	и для чего	1	1
79	но и для	1	1
80	с самого начала	1	1
81	ли может быть	1	1
82	но все же	1	1
83	тем не менее	3	1
84	к той или	1	1
85	к тому же	2	1
