N	3gram	Berdyaev_O_1	Problemy
1	не может быть	2	8
2	и не может	1	7
3	друг с другом	1	5
4	в самом деле	1	4
5	как и все	2	4
6	в романах достоевского	3	4
7	сам по себе	1	3
8	преступления и наказания	1	3
9	как бы в	1	3
10	как и в	1	3
11	хотя и не	1	2
12	преступлении и наказании	3	2
13	для своих целей	1	2
14	в строгом смысле	1	2
15	но и в	2	2
16	в том что	1	2
17	о том что	1	2
18	и в самой	2	2
19	в преступлении и	3	2
20	в братьях карамазовых	1	2
21	и не в	1	2
22	самим собой в	1	1
23	разных сторон и	1	1
24	им для своих	1	1
25	он сам и	1	1
26	в эпоху возрождения	1	1
27	а вовсе не	1	1
28	прежде всего в	1	1
29	и к нему	1	1
30	ивана карамазова в	1	1
31	себе что он	1	1
32	и человеческих отношений	1	1
33	не было и	1	1
34	и там и	1	1
35	в других романах	1	1
36	романов достоевского в	1	1
37	и все что	1	1
38	человека и человеческих	1	1
39	по сравнению с	1	1
40	с разных сторон	2	1
41	во всяком случае	1	1
42	вместо того чтобы	1	1
43	всех произведений достоевского	1	1
44	произведений достоевского в	1	1
45	между этими двумя	1	1
46	у него в	5	1
47	у достоевского он	1	1
48	да она и	1	1
49	в этом он	2	1
50	есть уже не	1	1
51	она и не	1	1
52	он никогда не	1	1
53	после того как	1	1
54	в каждом из	1	1
55	уже указывали на	1	1
56	и мысли и	1	1
57	не приходит в	1	1
