N	4gram	Vygotskiy__7	Myslijsy
1	в то время как	2	3
2	одно и то же	3	2
3	от одного к другому	1	2
4	в той мере в	2	1
5	только в том что	1	1
6	той мере в какой	2	1
7	видно из того что	1	1
8	и связанное с ним	1	1
9	только после того как	1	1
10	для того чтобы сделать	2	1
11	одной и той же	2	1
12	в том что он	2	1
13	состоит в том что	3	1
14	одном и том же	1	1
15	прежде чем перейти к	2	1
16	с одной стороны и	3	1
17	того чтобы сделать возможным	2	1
18	и то и другое	1	1
19	лишь в той мере	2	1
20	только потому что его	1	1
