N	3gram	Tiupa_Narr_2	Dialekti
1	с точки зрения	2	9
2	в том что	8	9
3	что иное как	1	8
4	не что иное	1	8
5	не может быть	2	6
6	то же время	3	6
7	в то же	3	6
8	есть не что	1	5
9	для того чтобы	1	5
10	в этом смысле	1	4
11	не в том	1	4
12	и стало быть	1	4
13	подобно тому как	2	4
14	в данный момент	1	2
15	в чем же	1	2
16	и в то	1	2
17	точно так же	2	2
18	с этой точки	1	2
19	а стало быть	1	2
20	этой точки зрения	1	2
21	иметь в виду	1	2
22	по сравнению с	1	2
23	тем не менее	4	2
24	в виду и	1	1
25	не может не	1	1
26	в обоих случаях	1	1
27	в чем не	1	1
28	не претендует на	1	1
29	мы имеем дело	2	1
30	ничего не объясняет	1	1
31	оба эти момента	1	1
32	может быть только	1	1
33	мы всегда можем	1	1
34	никогда не будет	1	1
35	что с точки	1	1
36	в зависимости от	1	1
37	не входит в	1	1
38	в отличие от	5	1
39	можно сказать что	3	1
40	того и другого	1	1
41	и не претендует	1	1
42	то что я	1	1
43	выше я уже	1	1
44	во всей его	1	1
45	в основе своей	1	1
46	и в сердце	1	1
47	а не только	1	1
48	в данном случае	6	1
49	не только в	6	1
50	стало быть и	1	1
51	и все его	1	1
52	и не могли	1	1
53	по природе своей	1	1
54	то что было	1	1
55	так или иначе	1	1
56	в нем не	1	1
57	вовсе и не	1	1
58	в связи с	1	1
59	собой один из	1	1
60	я не могу	1	1
61	как бы в	2	1
62	с той или	1	1
63	все те же	2	1
64	картина мира и	1	1
65	о том что	4	1
66	которое может быть	1	1
67	не только не	2	1
68	и не может	2	1
69	ни в чем	1	1
70	и не думал	1	1
71	прийти в себя	1	1
72	не говорит об	1	1
73	может варьироваться на	1	1
74	оно и не	1	1
75	не понимают что	1	1
76	той или иной	3	1
