N	2gram	Medvedev_F_3	Komedia
1	и в	27	22
2	и не	30	21
3	т е	32	16
4	том что	4	13
5	таким образом	18	12
6	в том	7	12
7	так как	9	11
8	со стороны	4	11
9	в доме	1	10
10	ни в	8	10
11	потому что	7	10
12	в самом	11	9
13	до сих	1	9
14	вместе с	6	9
15	сих пор	1	9
16	в этом	18	8
17	его в	7	8
18	в своем	2	8
19	о том	4	8
20	если бы	12	8
21	в его	7	8
22	что и	2	8
23	что он	6	8
24	то же	15	7
25	при этом	8	7
26	об этом	1	7
27	в конце	3	7
28	о чем	1	7
29	а в	1	7
30	того же	3	6
31	самом деле	16	6
32	еще не	6	6
33	так что	1	6
34	в то	7	6
35	и его	19	6
36	к тому	4	6
37	того чтобы	5	6
38	ясно что	3	6
39	и что	3	6
40	для того	4	6
41	может быть	25	6
42	как раз	8	6
43	к этому	2	6
44	что его	1	5
45	но в	6	5
46	не только	9	5
47	он не	1	5
48	в своей	6	5
49	в которых	3	5
50	то это	1	5
51	не менее	7	5
52	же время	7	5
53	связи с	5	5
54	хотя и	1	5
55	с ним	1	5
56	что в	8	5
57	по отношению	3	5
58	из них	2	5
59	тем что	5	5
60	прежде всего	4	5
61	как это	4	5
62	все это	7	5
63	и т	11	4
64	в ней	5	4
65	он был	4	4
66	с другой	6	4
67	нет и	3	4
68	и речи	2	4
69	отнюдь не	8	4
70	все же	6	4
71	то что	8	4
72	в себе	3	4
73	что она	2	4
74	но все	1	4
75	и с	3	4
76	должен был	1	4
77	с тем	7	4
78	точки зрения	16	4
79	не в	12	4
80	однако в	2	4
81	в отношении	2	4
82	самого начала	1	4
83	на него	1	4
84	и здесь	1	4
85	с самого	1	4
86	друг друга	5	4
87	так и	21	4
88	между собой	4	4
89	с помощью	8	4
90	т п	5	4
91	вовсе не	28	4
92	но и	10	4
93	до конца	4	4
94	ничем не	1	4
95	а не	17	4
96	в связи	4	4
97	не является	5	4
98	и для	6	4
99	бы в	6	4
100	хотя бы	6	4
101	так же	9	4
102	который в	1	3
103	говорить о	2	3
104	из того	1	3
105	столь же	3	3
106	с его	2	3
107	в ее	4	3
108	с этим	1	3
109	тем же	7	3
110	и этим	1	3
111	в этой	2	3
112	и тот	1	3
113	как он	2	3
114	на то	1	3
115	не могла	1	3
116	в нем	15	3
117	что ни	2	3
118	то ни	4	3
119	было бы	6	3
120	в них	3	3
121	как и	14	3
122	чем в	1	3
123	но если	2	3
124	том как	2	3
125	себе в	1	3
126	с точки	14	3
127	тем не	2	3
128	их в	3	3
129	никогда не	5	3
130	ничего не	2	3
131	же самое	3	3
132	одного из	1	3
133	в двух	1	3
134	не о	3	3
135	одной из	2	3
136	нисколько не	2	3
137	с одной	1	3
138	в начале	1	3
139	следует что	4	3
140	не так	1	3
141	всяком случае	6	3
142	мы можем	4	3
143	отношению к	3	3
144	в других	1	3
145	и даже	2	3
146	даже не	1	3
147	на ее	4	3
148	ему не	1	3
149	один из	1	3
150	в частности	1	3
151	не может	24	3
152	конечно не	4	3
153	одной стороны	1	3
154	в течение	1	3
155	как бы	8	3
156	с этой	1	3
157	в целом	4	3
158	не знает	1	3
159	дело с	3	3
160	в какой	3	3
161	во всяком	6	3
162	отношения к	2	2
163	человека и	2	2
164	здесь и	6	2
165	его не	1	2
166	мы не	4	2
167	в сущности	2	2
168	х годов	1	2
169	но при	2	2
170	и на	3	2
171	бы то	4	2
172	во всех	3	2
173	он говорит	1	2
174	отличие от	2	2
175	за пределы	2	2
176	что они	5	2
177	как в	4	2
178	стороны и	2	2
179	в результате	5	2
180	так или	1	2
181	бы не	2	2
182	только один	2	2
