N	3gram	Vygotskiy__2	KFilosof
1	не может быть	8	11
2	с точки зрения	10	10
3	в данный момент	1	3
4	на самом деле	5	3
5	в этом смысле	1	3
6	того или иного	2	3
7	не было бы	1	3
8	имеем в виду	1	2
9	он может быть	1	2
10	бы то ни	2	2
11	то или иное	1	2
12	здесь мы имеем	1	2
13	то ни было	1	2
14	один и тот	1	2
15	во всех своих	1	2
16	ни в каком	2	2
17	то же время	2	2
18	в то же	2	2
19	тем не менее	4	2
20	в том что	17	2
21	и тот же	1	2
22	то все же	1	1
23	на то что	6	1
24	то что и	1	1
25	именно в этой	1	1
26	с исчерпывающей ясностью	2	1
27	дело когда я	1	1
28	то прежде всего	1	1
29	потому что в	1	1
30	и того же	1	1
31	мы никогда не	1	1
32	не зависит от	1	1
33	и может быть	1	1
34	то что форма	1	1
35	какого бы то	1	1
36	я позволю себе	1	1
37	в их теоретической	1	1
38	он не может	2	1
39	по самому своему	1	1
40	как если бы	1	1
41	а не к	1	1
42	с него как	1	1
43	всех остальных областях	1	1
44	только в том	4	1
45	и во всех	1	1
46	к такому же	1	1
47	в зависимости от	1	1
48	и та же	1	1
49	тогда когда он	1	1
50	не само по	1	1
51	в основе своей	1	1
52	она не живет	1	1
53	согласиться с тем	1	1
54	в противном случае	1	1
55	может быть распространено	1	1
56	вместе с тем	1	1
57	и тем не	1	1
58	и то что	2	1
59	нас как бы	1	1
60	во всех остальных	2	1
61	быть дано только	1	1
62	не потому что	1	1
63	в первом случае	1	1
64	значит ли это	1	1
65	не есть еще	1	1
66	лежит в основе	1	1
67	в том случае	4	1
68	а не как	1	1
69	как и на	1	1
70	в одном случае	1	1
71	не в том	2	1
72	к той же	1	1
73	во всяком случае	2	1
74	к которой мы	1	1
75	одна и та	1	1
76	мы не найдем	1	1
77	для того чтобы	13	1
78	вместо того чтобы	1	1
79	бы не было	1	1
80	и должен быть	1	1
81	не может ничего	1	1
82	в противоречие с	1	1
83	по себе а	1	1
84	же самое что	2	1
85	в действительной жизни	1	1
86	никогда не может	3	1
87	в свою очередь	2	1
88	само по себе	3	1
89	и тем самым	1	1
90	в конечном счете	3	1
91	одного и того	1	1
92	если бы не	1	1
93	в другом случае	1	1
94	ли это что	1	1
95	но и тут	1	1
96	к тому что	2	1
97	в том смысле	1	1
98	не значит что	1	1
99	ясно что это	1	1
100	может быть дано	2	1
101	что и в	3	1
102	то же самое	6	1
