N	4gram	Bakhtin_KF_1	Marksizm
1	в то же время	2	8
2	но в то же	1	5
3	одного и того же	1	4
4	бы то ни было	2	4
5	с нашей точки зрения	1	2
6	то же самое что	1	1
7	дело в том что	1	1
8	тем не менее в	1	1
9	по отношению к нему	4	1
10	и ни к чему	1	1
11	ни на один миг	1	1
12	мы только путем скачка	1	1
13	но во всяком случае	1	1
14	с точки зрения теоретической	1	1
15	только по отношению к	2	1
16	ни к чему не	2	1
17	во всех этих случаях	1	1
18	интонации в зависимости от	1	1
19	но для того чтобы	1	1
20	бы оно ни было	1	1
21	несмотря на то что	1	1
