N	2gram	Bakhtin_Pr_1	ViktorSh
1	в книге	3	3
2	конце концов	4	2
3	и в	23	2
4	том что	9	2
5	в том	11	2
6	в конце	5	2
7	и только	1	1
8	крайней мере	2	1
9	тем более	1	1
10	в устах	1	1
11	под влиянием	1	1
12	тем новым	1	1
13	хотя бы	2	1
14	и не	34	1
15	все время	1	1
16	и его	13	1
17	потому что	12	1
18	я не	3	1
19	даже не	1	1
20	превратил в	1	1
21	и то	1	1
22	самом деле	5	1
23	все это	7	1
24	положений которые	1	1
25	от других	1	1
26	по поводу	1	1
27	именно в	6	1
28	по своим	2	1
29	в их	3	1
30	как же	3	1
31	стр и	1	1
32	дело в	1	1
33	с большой	1	1
34	в частности	1	1
35	одно и	1	1
36	все то	4	1
37	ведь это	2	1
38	в которых	2	1
39	в значительной	1	1
40	материалов и	1	1
41	в самом	8	1
42	для них	1	1
43	только в	8	1
44	то же	10	1
45	так как	7	1
46	далеко не	1	1
47	бы уже	2	1
48	но это	5	1
49	в этом	25	1
50	да и	2	1
51	по крайней	2	1
52	а только	1	1
53	и заключается	1	1
54	по существу	4	1
55	к этому	2	1
56	значительной степени	1	1
57	гораздо более	1	1
