N	2gram	Vygotskiy__3	VerxiiNi
1	и в	38	26
2	таким образом	12	22
3	с тем	8	18
4	в этом	13	15
5	вместе с	5	15
6	точки зрения	16	13
7	как бы	14	12
8	в том	25	11
9	из этих	3	10
10	не только	12	10
11	и с	1	10
12	может быть	19	10
13	так как	6	9
14	но и	5	9
15	что в	20	9
16	но не	1	8
17	в общем	2	8
18	главным образом	3	8
19	и у	1	8
20	с другой	7	8
21	и не	10	8
22	как на	3	8
23	но в	3	7
24	но все	1	7
25	из них	6	7
26	том что	14	7
27	потому что	14	7
28	с одной	6	7
29	то что	35	7
30	а с	2	7
31	одной стороны	5	7
32	того же	3	6
33	все же	8	6
34	все эти	4	6
35	в себе	4	6
36	всяком случае	2	6
37	с точки	9	6
38	к тому	6	6
39	так и	1	6
40	о том	6	6
41	в конце	2	6
42	что и	4	6
43	несмотря на	5	6
44	и потому	1	6
45	все это	3	6
46	мы должны	1	6
47	во всяком	2	6
48	отношение к	1	5
49	сих пор	5	5
50	и к	3	5
51	тем чтобы	1	5
52	тому же	1	5
53	в силу	2	5
54	или менее	1	5
55	не имеет	6	5
56	того чтобы	9	5
57	никогда не	4	5
58	для того	8	5
59	в его	5	5
60	до сих	6	5
61	а не	7	5
62	и для	4	5
63	так же	2	5
64	более или	1	5
65	в котором	6	4
66	то же	10	4
67	при жизни	1	4
68	в течение	4	4
69	целый ряд	2	4
70	в самом	25	4
71	в этой	13	4
72	и по	2	4
73	что все	3	4
74	то есть	15	4
75	с другими	1	4
76	должен был	2	4
77	он не	6	4
78	далеко не	3	4
79	и тогда	1	4
80	в которых	6	4
81	в то	3	4
82	в нем	4	4
83	а в	7	4
84	что оно	2	4
85	и что	18	4
86	и только	3	4
87	только в	4	4
88	к своим	2	4
89	и вместе	2	4
90	ничем не	1	4
91	не может	7	4
92	из которых	4	4
93	в этих	2	4
94	что он	11	4
95	в виде	2	4
96	же как	1	3
97	из всех	3	3
98	большей частью	2	3
99	в своем	5	3
100	когда он	4	3
101	и как	8	3
102	в которой	5	3
103	что это	10	3
104	и те	1	3
105	и если	6	3
106	при этом	4	3
107	подойти к	1	3
108	и при	1	3
109	оказывается что	1	3
110	если бы	14	3
111	то с	1	3
112	как о	1	3
113	представляет собой	2	3
114	к концу	3	3
115	в других	1	3
116	и о	3	3
117	но по	1	3
118	уже с	1	3
119	с самого	6	3
120	ясно что	6	3
121	можно сказать	1	3
122	того что	4	3
123	но с	1	3
124	хотя бы	2	3
125	в качестве	2	3
126	так что	8	3
127	из которого	1	3
128	уже не	2	3
129	что эти	4	3
130	для него	2	3
131	в одном	8	3
132	к ним	3	3
133	и даже	4	3
134	или иначе	1	3
135	с ней	1	3
136	с этой	2	3
137	в результате	1	3
138	у них	2	3
139	и другие	2	3
140	к этому	3	3
141	в таком	3	3
142	говорили о	1	2
143	одним из	1	2
144	и это	8	2
145	и больше	2	2
146	мы имеем	1	2
147	надо было	2	2
148	так чтобы	1	2
149	и заставляет	3	2
150	еще не	1	2
151	и на	6	2
152	с его	1	2
153	во всех	4	2
154	силы и	1	2
155	относится к	1	2
156	что именно	2	2
157	и наконец	2	2
158	ни один	1	2
159	он в	2	2
160	на то	16	2
161	не могла	2	2
162	из этой	1	2
163	не к	3	2
164	не как	1	2
165	именно из	1	2
166	из него	4	2
167	состоит в	3	2
168	заключает в	1	2
169	те же	1	2
170	образом если	1	2
171	в глазах	1	2
172	с которого	1	2
173	в них	3	2
174	к которым	5	2
175	мы видели	6	2
176	но если	4	2
177	признать что	2	2
178	не в	12	2
179	из человеческих	1	2
180	самого начала	6	2
181	этими двумя	2	2
182	ее с	1	2
183	героев и	1	2
184	не могло	1	2
185	только не	1	2
186	больше чем	4	2
187	в самой	4	2
188	в русском	1	2
189	так например	2	2
190	этом отношении	1	2
191	ли это	2	2
192	не потому	1	2
193	и здесь	6	2
194	не могут	2	2
195	и другой	1	2
196	отличается от	1	2
197	утверждать что	2	2
198	ничего общего	1	2
199	но при	1	2
200	не с	1	2
201	по сравнению	1	2
202	не исчерпывается	1	2
203	нет вовсе	1	2
204	для этого	2	2
205	мысль о	1	2
206	в виду	4	2
207	к одной	1	2
208	в пользу	1	2
209	между тем	7	2
210	вслед за	1	2
211	у всех	4	2
212	быть и	1	2
213	один из	6	2
214	тот же	3	2
215	положение в	1	2
216	и действительно	2	2
217	очень много	1	2
218	между этими	1	2
219	со всеми	2	2
220	для всех	2	2
221	конечно не	4	2
222	больше не	3	2
223	в начале	1	2
224	одно из	2	2
225	мы можем	7	2
226	из своих	1	2
227	именно в	1	2
228	по своим	1	2
229	к которому	1	2
230	превращается в	1	2
231	не было	1	2
232	и все	10	2
233	так называемой	3	2
234	когда же	1	2
235	всех других	1	2
236	если не	1	2
237	должна была	1	2
238	виде в	1	2
239	уже давно	2	2
240	и особенно	1	2
241	по своему	4	2
242	сравнению с	1	2
243	по существу	2	2
244	благодаря этому	2	2
245	что мы	1	2
246	только для	3	2
247	же самое	10	2
248	тем и	1	2
249	при таком	2	2
250	том виде	1	2
251	о котором	5	2
252	в эту	2	2
253	только что	2	2
254	в свою	4	2
255	сказать что	4	2
256	к его	2	2
257	одновременно и	3	2
258	либо в	2	2
259	ко всему	1	2
260	из этого	8	2
261	жизни и	1	2
262	можно назвать	2	2
263	все что	1	2
264	этой точки	1	2
265	как эти	1	1
266	себя как	2	1
267	как известно	1	1
268	от этой	2	1
269	речь идет	4	1
270	и римлян	1	1
271	чтобы не	1	1
272	а между	1	1
273	самом деле	21	1
274	он может	2	1
275	это и	1	1
276	мере в	1	1
277	и есть	1	1
278	что когда	2	1
279	которое мы	3	1
280	в первом	1	1
281	и до	1	1
282	все те	2	1
283	и этот	3	1
284	мы уже	7	1
285	той же	2	1
286	их и	1	1
287	это совершенно	1	1
288	мы не	5	1
289	определенный характер	1	1
290	что уже	1	1
291	нам в	2	1
292	что самый	1	1
293	он как	1	1
294	в сущности	10	1
295	время как	4	1
296	совпадает с	2	1
297	оно есть	2	1
298	сложнее и	1	1
299	что начиная	1	1
300	два совершенно	4	1
301	в ней	15	1
302	а другие	1	1
303	мы читаем	2	1
304	за это	1	1
305	что его	2	1
306	в чем	1	1
307	природы и	1	1
308	сказать и	1	1
309	видели что	2	1
310	это зло	1	1
311	более высокое	1	1
312	в сторону	1	1
313	одном и	1	1
314	уже как	2	1
315	более как	1	1
316	двум различным	1	1
317	что так	2	1
318	отличие от	1	1
319	общего правила	1	1
320	что они	4	1
321	что два	1	1
322	один и	1	1
323	которые могли	1	1
324	зрения а	1	1
325	идет о	4	1
326	материалом для	2	1
327	в одной	2	1
328	как в	4	1
329	нашли себе	1	1
330	как к	2	1
331	более и	2	1
332	это был	2	1
333	всей этой	1	1
334	могли бы	5	1
335	его к	2	1
336	с душой	1	1
337	от этого	1	1
338	то в	1	1
339	к чему	6	1
340	та же	3	1
341	то время	2	1
342	непременно будет	1	1
343	думать что	2	1
344	не более	2	1
345	точкой для	1	1
346	и тот	1	1
347	но параллельно	1	1
348	имеем в	1	1
349	имеет для	1	1
350	если он	4	1
351	так сказать	5	1
352	на его	1	1
353	отправной точкой	1	1
354	отношение которое	1	1
355	принимает совершенно	1	1
356	в нашей	1	1
357	о морали	1	1
358	чтобы они	1	1
359	всех этих	2	1
360	в корне	1	1
361	и более	2	1
362	на этом	5	1
363	что она	16	1
364	не следует	1	1
365	этом последнем	1	1
366	сделать из	1	1
367	в одну	1	1
368	факт что	1	1
369	только всякий	1	1
370	бы быть	1	1
371	на этой	1	1
372	его в	3	1
373	это было	1	1
374	в музыке	1	1
375	заключается в	7	1
376	есть не	1	1
377	это не	1	1
378	было бы	12	1
379	не совпадает	2	1
380	к нашей	1	1
381	чаще всего	1	1
382	в жизни	1	1
383	из первых	1	1
384	и смерти	1	1
385	к области	1	1
386	ни в	3	1
387	о характере	1	1
388	в минуту	1	1
389	о которых	9	1
390	она и	1	1
391	чтобы между	1	1
392	в слове	1	1
393	как и	8	1
394	этим и	1	1
395	на одну	1	1
396	должно быть	1	1
397	она была	4	1
398	перед собой	2	1
399	его нельзя	1	1
400	к тем	3	1
401	от своего	2	1
402	в своей	5	1
403	что такое	1	1
404	таким же	1	1
405	интерес и	1	1
406	в такой	3	1
407	ее вместе	1	1
408	в их	1	1
409	то для	1	1
410	как простой	1	1
411	место в	3	1
412	на каждом	1	1
413	в отличие	1	1
414	должны были	2	1
415	пользуются и	1	1
416	но эта	1	1
417	в прямом	2	1
418	борьбу с	1	1
419	на такое	1	1
420	их в	2	1
421	не могли	4	1
422	однако в	1	1
423	по вкусу	1	1
424	даже в	1	1
425	заставляет его	2	1
426	случае мы	1	1
427	этих трех	1	1
428	но они	2	1
429	а иногда	1	1
430	что с	4	1
431	у этих	3	1
432	и ясно	1	1
433	дело не	2	1
434	и отсюда	1	1
435	того как	3	1
436	всех тех	1	1
437	не по	1	1
438	в уме	1	1
439	а тот	1	1
440	этому что	1	1
441	казалось бы	5	1
442	ничего не	2	1
443	под этим	2	1
444	видим что	8	1
445	как время	1	1
446	уже говорили	3	1
447	другой стороны	5	1
448	это слово	1	1
449	мире и	1	1
450	к этим	1	1
451	бы по	1	1
452	нет все	1	1
453	у нас	2	1
454	когда мы	2	1
455	лежит в	2	1
456	не знаем	2	1
457	как только	3	1
458	смерти и	1	1
459	и конечно	3	1
460	не есть	1	1
461	на это	3	1
462	всегда в	1	1
463	в каждой	1	1
464	значения и	1	1
465	с ее	2	1
466	как не	1	1
467	свою очередь	2	1
468	здесь не	3	1
469	всего этого	2	1
470	в ее	7	1
471	данном случае	2	1
472	совершенно ясно	13	1
473	она живет	1	1
474	смерти в	1	1
475	только то	2	1
476	в себя	1	1
477	оно превращается	1	1
478	идет речь	1	1
479	роль в	1	1
480	таких людей	1	1
481	к смерти	2	1
482	прямом смысле	2	1
483	и совершенно	4	1
484	до самого	2	1
485	ясным что	1	1
486	же эти	1	1
