N	2gram	Vygotskiy__3	BTomashe
1	у нас	1	3
2	и не	10	2
3	все это	6	2
4	в ней	1	2
5	видеть в	1	2
6	можно было	6	2
7	стр и	1	2
8	более подробно	1	1
9	же не	1	1
10	за пределы	1	1
11	остановиться на	3	1
12	по мотивам	1	1
13	из частичных	1	1
14	об этом	2	1
15	и в	25	1
16	в речи	2	1
17	выходит за	1	1
18	к ней	1	1
19	что все	1	1
20	не признать	1	1
21	по отдельным	1	1
22	свое название	1	1
23	с другой	6	1
24	в своей	2	1
25	значение слова	4	1
26	на которой	1	1
27	сейчас в	1	1
28	точно и	1	1
29	было бы	10	1
30	все же	6	1
31	всяком случае	4	1
32	кроме того	1	1
33	между ними	3	1
34	еще не	4	1
35	и на	6	1
36	в пределах	1	1
37	в значительной	1	1
38	прежде всего	4	1
39	в данном	1	1
40	и во	2	1
41	так и	5	1
42	не о	1	1
43	до конца	1	1
44	нельзя не	1	1
45	а не	1	1
46	что в	17	1
47	в области	7	1
48	другой стороны	3	1
49	также не	1	1
50	не уничтожается	1	1
51	отнюдь не	4	1
52	таким образом	17	1
53	вопрос о	1	1
54	и более	1	1
55	и потому	2	1
56	не только	6	1
57	значительной степени	1	1
58	во всяком	4	1
59	в эпоху	1	1
