N	3gram	Bakhtin_Pr_1	Tragedij
1	то же время	3	5
2	в то же	3	5
3	так и в	2	3
4	в отличие от	5	2
5	и в частности	2	2
6	в данном случае	4	2
7	но в то	1	2
8	и как бы	1	2
9	и в самом	1	2
10	в том что	3	2
11	с первого же	1	2
12	а между тем	1	1
13	и теперь еще	1	1
14	вообще не имеет	1	1
15	в известной степени	2	1
16	и не может	2	1
17	во всех видах	1	1
18	хотя бы и	1	1
19	и должна быть	1	1
20	но несмотря на	1	1
21	и т п	13	1
22	это как бы	1	1
23	в известной мере	1	1
24	может быть понят	1	1
25	отношение к нему	1	1
26	бы и в	1	1
27	в применении к	3	1
28	принципиальный отказ от	1	1
29	в высшей степени	5	1
30	смысле этого слова	1	1
31	и должно быть	1	1
32	и в этом	1	1
33	по сравнению с	1	1
34	тем не менее	3	1
35	не могут быть	2	1
36	необходимо подчеркнуть что	1	1
37	в связи с	1	1
38	первого же взгляда	1	1
39	не может быть	11	1
40	уже не к	1	1
41	отнюдь не является	1	1
42	это и есть	1	1
43	она как бы	1	1
44	без которой не	1	1
45	в самом деле	3	1
46	отметить что в	1	1
47	быть отнесены к	1	1
48	к тому что	1	1
49	как и в	1	1
