N	2gram	Potebnia_M_4	Formalny
1	и не	18	30
2	вовсе не	7	28
3	и в	23	27
4	может быть	26	25
5	не может	11	24
6	так и	6	21
7	и его	2	19
8	в этом	23	18
9	таким образом	24	18
10	а не	12	17
11	самом деле	3	16
12	точки зрения	4	16
13	то же	14	15
14	в нем	7	15
15	в процессе	3	15
16	между ними	4	15
17	на самом	3	14
18	как и	14	14
19	с точки	3	14
20	не в	11	12
21	если бы	13	12
22	и т	7	11
23	в самом	3	11
24	художественное произведение	2	11
25	не могут	2	10
26	но и	11	10
27	в действительности	3	9
28	не только	10	9
29	лишь в	3	9
30	так как	14	9
31	так же	4	9
32	как бы	5	8
33	при этом	15	8
34	входит в	1	8
35	как мы	2	8
36	в пределах	1	8
37	только в	15	8
38	то что	29	8
39	и все	4	8
40	что в	17	8
41	художественного произведения	1	7
42	тем же	1	7
43	с тем	7	7
44	не менее	5	7
45	же время	3	7
46	потому что	33	7
47	его в	4	7
48	между тем	9	7
49	в его	5	7
50	в том	23	7
51	если мы	2	7
52	там где	3	7
53	все это	5	7
54	в то	4	7
55	в искусстве	3	7
56	еще не	3	6
57	но в	8	6
58	все эти	3	6
59	т д	3	6
60	в своей	1	6
61	всяком случае	3	6
62	было бы	8	6
63	что он	4	6
64	с другой	2	6
65	вместе с	6	6
66	в данном	4	6
67	все же	1	6
68	и для	2	6
69	бы в	2	6
70	хотя бы	4	6
71	в своих	2	6
72	во всяком	5	6
73	зависимости от	1	5
74	но не	1	5
75	в истории	4	5
76	независимо от	6	5
77	в единстве	1	5
78	так сказать	5	5
79	в каждом	3	5
80	того чтобы	4	5
81	поэтическое произведение	1	5
82	если же	4	5
83	в ней	2	5
84	никогда не	3	5
85	и понимание	1	5
86	связи с	3	5
87	большинстве случаев	2	5
88	и их	3	5
89	т п	4	5
90	друг друга	2	5
91	тем что	10	5
92	именно так	1	5
93	и потому	10	5
94	тому как	2	5
95	что же	5	5
96	и формы	1	5
97	другой стороны	1	5
98	можно говорить	1	4
99	не есть	9	4
100	произведения но	1	4
101	мы не	8	4
102	как в	7	4
103	и как	2	4
104	и те	1	4
105	бы ни	2	4
106	подобно тому	2	4
107	данном случае	2	4
108	в ее	2	4
109	в слове	22	4
110	том что	12	4
111	по себе	11	4
112	она не	2	4
113	в смысле	3	4
114	тогда когда	8	4
115	мы можем	10	4
116	могут быть	7	4
117	к тому	3	4
118	роль в	1	4
119	следовательно и	1	4
120	о том	8	4
121	связь между	3	4
122	конечно не	2	4
123	уже в	5	4
124	в большинстве	2	4
125	только на	4	4
126	следует что	1	4
127	для того	6	4
128	со стороны	3	4
129	прежде всего	1	4
130	в связи	1	4
131	мы видели	1	4
132	как это	1	4
133	да и	4	4
134	слова и	5	4
135	от всех	1	4
136	из этого	2	4
137	жизни и	1	4
138	одним из	1	3
139	того же	1	3
140	должна быть	1	3
141	мы уже	3	3
142	той же	3	3
143	мы и	2	3
144	в виду	3	3
145	стороны его	1	3
146	и на	3	3
147	в которых	3	3
148	столь же	2	3
149	во всех	1	3
150	то мы	3	3
151	то он	2	3
152	нет и	1	3
153	бы и	5	3
154	что это	7	3
155	формы в	3	3
156	в себе	14	3
157	этот процесс	1	3
158	не следует	2	3
159	и с	4	3
160	те же	3	3
161	это не	7	3
162	действительности в	1	3
163	и тем	4	3
164	ее в	1	3
165	в этих	3	3
166	о противопоставлении	1	3
167	от его	2	3
168	и более	4	3
169	по отношению	10	3
170	тому что	2	3
171	для нас	14	3
172	этом отношении	1	3
173	же самое	4	3
174	а что	2	3
175	они и	1	3
176	оно не	2	3
177	совершается в	1	3
178	в произведении	1	3
179	ясно что	1	3
180	и что	7	3
181	можно сказать	4	3
182	их в	3	3
183	в них	3	3
184	и следовательно	3	3
185	дело с	1	3
186	уже не	3	3
187	в поэзии	3	3
188	слово как	1	3
189	у нас	2	3
190	одно а	1	3
191	к его	2	3
192	может стать	1	3
193	внутренней формы	10	3
194	она есть	1	3
195	в той	4	3
196	того что	14	3
197	отношению к	8	3
198	материалом поэзии	1	3
