N	3gram	Tiupa_Teor_1	UchenyiS
1	в конечном счете	6	4
2	не может быть	4	4
3	с другой стороны	5	3
4	то же время	5	3
5	бы то ни	1	3
6	в то же	5	3
7	то ни было	1	3
8	а между тем	1	2
9	не могут быть	2	2
10	и в этой	1	2
11	в этом смысле	2	2
12	то же самое	1	2
13	в художественном произведении	1	2
14	в том что	8	2
15	в противном случае	1	2
16	по крайней мере	1	2
17	тех или иных	3	2
18	том что она	1	1
19	но прежде всего	1	1
20	в широком и	1	1
21	так или иначе	4	1
22	по себе еще	1	1
23	не только к	1	1
24	это было бы	1	1
25	более или менее	2	1
26	имеем в виду	3	1
27	этом смысле можно	1	1
28	между тем в	1	1
29	научному анализу и	1	1
30	и в то	1	1
31	в эстетический объект	2	1
32	является одним из	1	1
33	говоря иначе в	1	1
34	можно сказать что	2	1
35	мы имеем в	3	1
36	в частности с	1	1
37	в искусстве от	1	1
38	этого термина не	1	1
39	в данном случае	5	1
40	произведения искусства как	1	1
41	и некоторыми другими	1	1
42	но в то	1	1
43	с одной стороны	2	1
44	на первый взгляд	1	1
