N	3gram	Nazirov_Vr_1	Narrotol
1	в том что	2	5
2	в соответствии с	1	4
3	то же время	4	4
4	в то же	4	4
5	не может быть	2	4
6	в этом отношении	1	3
7	тем не менее	1	3
8	речь идет о	1	3
9	о том что	1	2
10	до сих пор	1	2
11	одно и то	1	2
12	как раз в	2	2
13	войне и мире	1	2
14	и то же	1	2
15	в связи с	3	2
16	не только от	1	2
17	и все же	5	2
18	во всяком случае	1	2
19	в войне и	1	2
20	в свою очередь	1	2
21	но и от	1	2
22	на то что	1	2
23	в известном смысле	1	2
24	о себе знать	1	1
25	в е годы	1	1
26	как и у	3	1
27	это то что	1	1
28	в ответ на	1	1
29	это за человек	1	1
30	с другой стороны	1	1
31	с точки зрения	2	1
32	и не может	1	1
33	и в то	1	1
34	в той же	1	1
35	он и не	1	1
36	и то что	1	1
37	точно так же	1	1
38	как он сам	1	1
39	по крайней мере	1	1
40	может быть и	1	1
41	едва ли не	1	1
42	что это за	1	1
43	но при этом	1	1
44	а с другой	1	1
45	что к этому	1	1
46	что у него	1	1
47	связи с этим	1	1
48	преступление и наказание	1	1
49	и в самом	1	1
50	но в этом	1	1
51	в русской литературе	3	1
52	на этот раз	1	1
53	между тем это	1	1
