N	4gram	Potebnia_M_4	Marksizm
1	одного и того же	1	5
2	и не может быть	1	4
3	один и тот же	2	3
4	в то же время	3	3
5	нет и не может	1	2
6	в том числе и	1	2
7	до тех пор пока	2	2
8	на этот вопрос мы	1	2
9	одной и той же	1	2
10	до сих пор не	1	1
11	одну и ту же	1	1
12	и та и другая	1	1
13	этот вопрос мы не	1	1
14	иначе и быть не	1	1
15	одна и та же	1	1
16	второй половины xix века	1	1
17	что же касается до	1	1
18	и в таком случае	1	1
19	все более и более	2	1
20	самый вопрос о том	1	1
21	с точки зрения этого	1	1
22	одним и тем же	1	1
