1	точно так же и	2	3
2	и т д и	4	2
3	не что иное как	2	2
4	во всех этих случаях	1	2
5	до сих пор мы	2	1
6	один из них не	1	1
7	не сам по себе	1	1
8	в связи с этим	1	1
9	и т д все	1	1
10	иметь в виду то	1	1
11	в связи с ее	1	1
12	о том как он	1	1
13	как мы увидим ниже	2	1
14	и т д здесь	1	1
15	только с одним условием	1	1
16	а может быть даже	1	1
17	есть не что иное	2	1
18	мы уже видели что	1	1
19	ни один из них	1	1
20	сих пор мы рассматривали	1	1
21	то это значит что	1	1
22	мы здесь не будем	1	1
23	с тем что в	1	1
