N	2gram	Vygotskiy__2	Sotsiolo
1	все это	4	7
2	в том	33	5
3	в этом	19	5
4	и только	3	3
5	более чем	1	3
6	для нас	4	3
7	не только	15	3
8	и в	15	3
9	но ведь	2	3
10	не в	8	3
11	в его	2	3
12	за пределы	2	2
13	как только	2	2
14	но и	10	2
15	и мы	2	2
16	было бы	10	2
17	к которому	6	2
18	в смысле	1	2
19	только в	4	2
20	дело не	1	2
21	по природе	1	2
22	в результате	3	2
23	тем более	3	2
24	том что	27	2
25	в частности	6	2
26	то что	20	2
27	или даже	1	2
28	и что	8	2
29	ведь это	1	2
30	таким образом	14	2
31	это и	1	2
32	отношению к	5	2
33	что в	14	2
34	может быть	9	2
35	как бы	7	2
36	по отношению	6	2
37	очевидно что	3	2
38	и заключается	1	2
39	по существу	5	2
40	то же	5	2
41	друг от	2	1
42	тотчас же	1	1
43	что все	4	1
44	я и	1	1
45	опираясь на	2	1
46	по себе	7	1
47	даже в	4	1
48	сама по	2	1
49	противоположностей и	1	1
50	в этой	6	1
51	тому что	1	1
52	отнюдь не	2	1
53	эти два	1	1
54	для каузального	1	1
55	на все	2	1
56	ибо по	1	1
57	стоит только	1	1
58	от окружающих	1	1
59	же этот	1	1
60	с другой	6	1
61	в соответствующих	1	1
62	его в	1	1
63	только для	3	1
64	с ним	3	1
65	это не	5	1
66	бананы и	1	1
67	науки о	1	1
68	на этот	6	1
69	именно в	2	1
70	в чем	1	1
71	же по	1	1
72	все же	4	1
73	один из	1	1
74	и есть	2	1
75	перед нами	2	1
76	мысли в	1	1
77	и наконец	1	1
78	даже больше	1	1
79	еще и	1	1
80	только то	1	1
81	а с	4	1
82	том как	1	1
83	тем что	2	1
84	вопросом о	2	1
85	и как	2	1
86	в процессе	11	1
87	что эти	1	1
88	настаивает на	1	1
89	что он	12	1
90	прежде всего	4	1
91	бы он	1	1
92	в них	4	1
93	так и	8	1
94	одной стороны	7	1
95	те же	3	1
96	и не	7	1
97	полагает что	5	1
98	говорит за	1	1
99	из себя	1	1
100	методологической системы	1	1
101	существу дела	2	1
102	никогда не	8	1
103	на основании	1	1
104	зависит от	1	1
105	метода для	1	1
106	он по	1	1
107	основной вопрос	1	1
108	мы не	10	1
109	это как	1	1
110	ничего не	3	1
111	природе что	1	1
112	влияет на	1	1
113	раньше всего	2	1
114	развития и	3	1
115	и самым	2	1
116	и о	1	1
117	связь между	5	1
118	все эти	3	1
119	это же	3	1
120	именно на	1	1
121	как и	6	1
122	между собой	1	1
123	или нет	1	1
124	бы в	1	1
125	с помощью	5	1
126	для этого	3	1
127	иначе говоря	2	1
128	что автор	1	1
129	мы должны	6	1
130	первый план	1	1
131	остается в	2	1
132	в таких	1	1
133	в сущности	9	1
134	благодаря тому	1	1
135	в серьезных	1	1
136	развития развитие	1	1
137	конечно не	1	1
138	в связи	6	1
139	на первый	1	1
140	и его	4	1
141	в этих	2	1
142	место в	1	1
143	связи с	9	1
144	от друга	2	1
145	или не	1	1
146	хотя бы	4	1
147	вступает в	1	1
148	и научно	1	1
149	в целом	10	1
150	стало быть	2	1
151	не может	9	1
152	в своей	4	1
153	только тогда	2	1
154	и должно	1	1
155	не от	1	1
156	а в	4	1
157	не способен	1	1
158	что она	3	1
159	о том	9	1
160	его исследования	1	1
161	по самому	1	1
162	не дает	2	1
163	именно и	1	1
164	в области	1	1
165	к изучению	1	1
166	и потому	1	1
167	же это	2	1
168	больше того	3	1
169	факта что	1	1
170	мы думаем	2	1
171	в котором	2	1
172	между ними	1	1
173	из тех	3	1
174	может не	1	1
175	столь же	2	1
176	время в	1	1
177	всяком случае	6	1
178	собой не	1	1
179	метода как	1	1
180	когда мы	1	1
181	в силу	2	1
182	он говорит	3	1
183	в конечном	4	1
184	что это	6	1
185	вовсе не	6	1
186	жизни он	2	1
187	но сам	1	1
188	же самое	2	1
189	с одной	7	1
190	в заключение	3	1
191	но не	3	1
192	у него	2	1
193	подвести итоги	1	1
194	в виде	1	1
195	в данном	3	1
196	между тем	1	1
197	существу это	1	1
198	но как	1	1
199	и по	3	1
200	что на	2	1
201	конечном счете	4	1
202	и более	2	1
203	том и	1	1
204	во всяком	7	1
205	бы они	2	1
206	они не	3	1
