N	2gram	Nazirov_Tv_2	Sovremen
1	не может	7	17
2	может быть	8	12
3	таким образом	10	11
4	мы не	4	9
5	в каждом	1	8
6	в этом	8	7
7	не можем	1	7
8	и в	20	7
9	ничего не	4	6
10	как и	6	6
11	и не	9	6
12	в результате	1	6
13	и наконец	2	5
14	все эти	4	5
15	что же	1	5
16	прежде всего	8	5
17	в дальнейшем	4	4
18	нет и	2	4
19	в том	8	4
20	в целом	6	4
21	из них	2	4
22	же это	1	4
23	так как	3	4
24	мы видели	1	4
25	не только	13	4
26	в развитии	1	4
27	как бы	11	4
28	вместе с	3	4
29	это не	7	4
30	точку зрения	2	4
31	их в	2	4
32	а в	4	4
33	в первом	1	3
34	с самого	1	3
35	то же	7	3
36	ясно что	1	3
37	между собой	1	3
38	может не	1	3
39	отнюдь не	4	3
40	все же	5	3
41	еще не	5	3
42	но в	4	3
43	мы получаем	1	3
44	в этой	5	3
45	в себе	3	3
46	уже в	2	3
47	что она	4	3
48	в одном	2	3
49	в конце	6	3
50	в нем	3	3
51	при этом	8	3
52	и мы	3	3
53	было бы	1	3
54	а не	6	3
55	и потому	4	3
56	не в	4	3
57	все это	6	3
58	самого начала	1	3
59	а все	1	3
60	одна из	3	3
61	для нас	1	3
62	у нас	2	3
63	с необходимостью	1	3
64	и к	1	3
65	отличается от	1	3
66	к действию	1	3
67	в области	1	3
68	как известно	2	2
69	как мы	1	2
70	свою очередь	1	2
71	и есть	2	2
72	приводит к	2	2
73	роль в	2	2
74	той же	1	2
75	каждого из	1	2
76	и даже	5	2
77	говорить о	2	2
78	говорим о	1	2
79	и что	2	2
80	самом деле	2	2
81	в которую	2	2
82	в его	10	2
83	ясного и	1	2
84	с этим	1	2
85	дает нам	1	2
86	в самом	3	2
87	по мнению	3	2
88	в которой	2	2
89	или же	1	2
90	что это	1	2
91	из этих	1	2
92	с одной	1	2
93	уже не	3	2
94	так сказать	2	2
95	в виде	2	2
96	на его	4	2
97	о принципиальной	1	2
98	мы знаем	1	2
99	всяком случае	2	2
100	у него	6	2
101	и по	2	2
102	отличие от	2	2
103	что все	1	2
104	значение в	1	2
105	или иной	1	2
106	развития в	1	2
107	на этот	2	2
108	которой он	2	2
109	такой же	2	2
110	в один	1	2
111	в отличие	2	2
112	знаем что	1	2
113	такого рода	1	2
114	о жизни	3	2
115	не менее	2	2
116	о значении	1	2
117	но очень	1	2
118	еще более	1	2
119	теперь же	1	2
120	мы видим	4	2
121	не дает	1	2
122	тот же	1	2
123	в свою	1	2
124	совершенно не	1	2
125	не могут	1	2
126	могут быть	2	2
127	для развития	1	2
128	что в	7	2
129	если же	1	2
130	в таком	3	2
131	во всяком	2	2
132	а может	1	1
133	дальнейшем мы	1	1
134	должен быть	1	1
135	и это	3	1
136	можно говорить	1	1
137	своего развития	1	1
138	совпадают с	1	1
139	человека и	3	1
140	на другой	1	1
141	ведь в	1	1
142	это и	1	1
143	отношению к	3	1
144	так в	2	1
145	по преимуществу	2	1
146	нас на	1	1
147	и до	1	1
148	в мире	5	1
149	быть действительно	1	1
150	можно было	1	1
151	мы уже	1	1
152	из всех	1	1
153	в споре	1	1
154	во многом	2	1
155	же как	3	1
156	еще в	1	1
157	когда в	1	1
158	отчасти в	1	1
159	развития что	1	1
160	что уже	1	1
161	поэтому в	1	1
162	если бы	4	1
163	и вообще	2	1
164	она развивается	1	1
165	с человеком	1	1
166	поступков я	1	1
167	эта функция	1	1
168	и соответственно	1	1
169	же необходимо	1	1
170	и ни	1	1
171	и должно	1	1
172	о том	5	1
173	одного из	1	1
174	и ставит	1	1
175	утверждает что	1	1
176	он сам	3	1
177	и механическое	1	1
178	быть в	1	1
179	же время	7	1
180	что его	2	1
181	это означало	1	1
182	его в	3	1
183	с его	1	1
184	во всех	1	1
185	веры но	1	1
186	еще одним	1	1
187	но не	5	1
188	к этому	3	1
189	но как	1	1
190	точка зрения	2	1
191	если в	1	1
192	в конечном	1	1
193	конечном счете	1	1
194	по отношению	3	1
195	а потому	1	1
196	крайней мере	2	1
197	в ту	2	1
198	все время	2	1
199	чем же	1	1
200	в гости	1	1
201	другой день	1	1
202	стороны и	1	1
203	этого развития	1	1
204	к которому	2	1
205	значит что	1	1
206	известном смысле	1	1
207	один из	3	1
208	к различным	1	1
209	одной из	3	1
210	ли он	1	1
211	затем из	2	1
212	только в	2	1
213	для ее	1	1
214	в этот	2	1
215	может оказаться	1	1
216	за собой	4	1
217	почти совершенно	1	1
218	то он	1	1
219	но ведь	2	1
220	в известном	1	1
221	нами в	1	1
222	этот вопрос	3	1
223	и у	2	1
224	в большинстве	1	1
225	какую бы	1	1
226	в начале	3	1
227	и если	2	1
228	быть поняты	2	1
229	он не	3	1
230	его и	2	1
231	эта система	1	1
232	и еще	2	1
233	и их	1	1
234	необходимо сказать	1	1
235	к одному	1	1
