N	2gram	Bakhtin_fo_1	Problema
1	и не	14	28
2	то есть	33	27
3	не только	9	24
4	только в	4	23
5	вовсе не	13	21
6	и в	50	20
7	в том	9	20
8	ни в	8	17
9	все эти	9	16
10	бесконечный ряд	1	16
11	смысле слова	2	15
12	то что	6	15
13	потому что	4	15
14	точки зрения	5	14
15	у нас	1	14
16	той или	2	14
17	было бы	2	14
18	но и	8	14
19	также и	2	13
20	перед нами	1	13
21	не в	5	13
22	или иной	2	13
23	в нашем	2	12
24	в себе	3	12
25	том что	4	12
26	с точки	2	11
27	по себе	2	11
28	прежде всего	15	11
29	отнюдь не	5	10
30	и его	16	10
31	так и	12	10
32	в качестве	3	10
33	при помощи	1	10
34	не является	2	10
35	в этом	25	9
36	может быть	11	9
37	и даже	2	9
38	все это	4	9
39	но в	10	8
40	таким образом	11	8
41	если бы	5	8
42	что он	1	8
43	в той	4	8
44	в результате	6	8
45	и все	6	8
46	во всяком	3	8
47	то же	11	7
48	мы не	3	7
49	в ней	4	7
50	еще не	5	7
51	и с	4	7
52	ясно что	2	7
53	это не	6	7
54	здесь не	4	7
55	хотя бы	2	7
56	есть в	2	7
57	с другой	2	7
58	именно в	3	7
59	сказать что	3	7
60	а не	3	7
61	и потому	3	7
62	есть не	3	6
63	мы имеем	1	6
64	а только	2	6
65	при этом	3	6
66	всех этих	5	6
67	об этом	2	6
68	как и	8	6
69	в данном	2	6
70	в каком	2	6
71	в виду	3	6
72	и вообще	2	6
73	а также	2	6
74	так что	1	6
75	в одно	3	6
76	по своему	1	6
77	и от	1	6
78	для нас	2	6
79	в таком	3	6
80	но не	5	5
81	как в	6	5
82	хотя и	3	5
83	в нем	24	5
84	да и	3	5
85	в них	4	5
86	в этих	3	5
87	и очень	1	5
88	только и	5	5
89	когда мы	1	5
90	в ее	6	5
91	данном случае	1	5
92	о том	1	5
93	жизни и	8	5
94	уже не	2	5
95	если мы	2	5
96	так как	6	5
97	здесь в	2	5
98	то и	1	5
99	человеческой жизни	6	5
100	не может	6	5
101	вместе с	3	5
102	так же	6	5
103	не существует	1	5
104	или в	3	5
105	и ни	1	5
106	и т	8	4
107	кроме того	4	4
108	и есть	1	4
109	и наконец	1	4
110	нет никакой	1	4
111	уже в	2	4
112	в этой	1	4
113	которая является	1	4
114	времени и	10	4
115	с тем	3	4
116	в своей	2	4
117	всяком случае	1	4
118	в одном	3	4
119	в отношении	3	4
120	отличается от	1	4
121	не имеет	4	4
122	в разных	5	4
123	в самой	2	4
124	всегда есть	1	4
125	и образ	3	4
126	здесь как	2	4
127	жизнь и	4	4
128	с ним	2	4
129	и во	7	4
130	во всех	6	4
131	и только	1	4
132	тем более	1	4
133	одной из	3	4
134	и ее	3	4
135	или даже	1	4
136	ни с	2	4
137	что не	3	4
138	уже давно	1	4
139	с этим	6	4
140	как бы	2	4
141	однако не	1	4
142	как раз	13	4
143	и для	4	4
144	же в	3	4
145	а в	3	4
146	в то	9	4
147	самом деле	1	3
148	в зависимости	1	3
149	но она	2	3
150	и на	8	3
151	он был	1	3
152	но как	1	3
153	явлений и	1	3
154	тут же	1	3
155	в истории	2	3
156	же и	2	3
157	в своем	4	3
158	и к	2	3
159	бы и	1	3
160	движение и	1	3
161	имеем в	1	3
162	вообще не	3	3
163	категорий в	1	3
164	нами здесь	1	3
165	но все	5	3
166	человека в	17	3
167	в другом	1	3
168	с другими	3	3
169	из них	1	3
170	в новое	3	3
171	здесь нет	3	3
172	в жизни	6	3
173	глубоко и	1	3
174	в предыдущем	1	3
175	связи с	6	3
176	нет никакого	1	3
177	вплоть до	1	3
178	как о	1	3
179	дело не	1	3
180	правда в	1	3
181	на себе	1	3
182	и сама	1	3
183	самой жизни	1	3
184	и является	2	3
185	зависимости от	1	3
186	к тому	3	3
187	как мы	14	3
188	в буквальном	2	3
189	с собой	1	3
190	все в	1	3
191	в ряд	1	3
192	в его	13	3
193	что и	3	3
194	всякого рода	2	3
195	для всех	2	3
196	конечно не	4	3
197	в начале	3	3
198	только к	3	3
199	здесь мы	1	3
200	для него	2	3
201	себе и	3	3
202	мы можем	1	3
203	тем что	2	3
204	само собой	2	3
205	для того	5	3
206	не было	7	3
207	были бы	1	3
208	еще и	2	3
