N	3gram	Ircho_Kome_1	Myslijsy
1	более или менее	1	8
2	во всяком случае	2	7
3	в том что	9	7
4	тем не менее	1	5
5	не в состоянии	2	4
6	а между тем	1	4
7	подобно тому как	1	4
8	до сих пор	2	4
9	сам по себе	1	4
10	в то время	5	4
11	на то что	2	3
12	то время как	4	3
13	с одной стороны	3	3
14	смысле этого слова	1	3
15	и т п	5	3
16	и т д	4	3
17	и все остальные	1	2
18	после того как	3	2
19	состоит не в	1	2
20	с другой стороны	5	2
21	для того чтобы	1	2
22	то же время	4	2
23	с самого начала	1	2
24	в то же	4	2
25	таким образом в	2	2
26	сплошь да рядом	1	1
27	а в птицах	1	1
28	состоит в том	1	1
29	большей или меньшей	1	1
30	то время когда	1	1
31	у нас в	2	1
32	том что он	4	1
33	того что нет	1	1
34	что же касается	1	1
35	друг от друга	1	1
36	в отличие от	1	1
37	при этом что	2	1
38	бы то ни	2	1
39	потому что и	1	1
40	и в разговоре	1	1
41	со всех сторон	1	1
42	с этой точки	1	1
43	вместе с тем	1	1
44	может и не	1	1
45	на мой взгляд	1	1
46	как и в	2	1
47	было сказано только	1	1
48	то ни было	2	1
49	в применении к	1	1
50	во всех отношениях	1	1
51	в одном случае	1	1
52	из них не	1	1
53	и тот же	1	1
54	о которых мы	1	1
55	что и сам	1	1
56	и независимо от	1	1
57	о том что	3	1
58	в одном из	4	1
59	что у него	1	1
60	которые могут быть	1	1
61	в большинстве случаев	1	1
62	не только их	1	1
