N	3gram	Losev_Prob_3	Vladivir
1	в том что	9	9
2	в связи с	7	8
3	во всяком случае	6	6
4	в то время	4	6
5	тем не менее	10	6
6	что же касается	4	5
7	и то что	7	5
8	по крайней мере	5	4
9	необходимо сказать что	2	4
10	содержит в себе	3	4
11	само собой разумеется	1	3
12	в те времена	1	3
13	дело в том	3	3
14	более или менее	1	3
15	с точки зрения	2	3
16	в отличие от	2	3
17	в то же	4	3
18	точно так же	3	3
19	у нас выше	2	3
20	на этот раз	3	3
21	в конце концов	3	3
22	так или иначе	1	3
23	о том что	3	3
24	никакого отношения к	3	3
25	хотя и не	2	2
26	сказать что в	1	2
27	на то что	1	2
28	в настоящее время	2	2
29	том что он	1	2
30	на первый план	2	2
31	как мы сказали	1	2
32	также еще и	1	2
33	можно было бы	3	2
34	сам по себе	6	2
35	в данном случае	7	2
36	в том чтобы	1	2
37	не только в	2	2
38	или по крайней	4	2
39	не имеет никакого	3	2
40	ввиду того что	1	2
41	а то что	2	2
42	собой разумеется что	1	2
43	само по себе	3	2
44	а именно к	1	2
45	заключается в том	3	2
46	было у него	1	2
47	до некоторой степени	1	2
48	и в его	3	2
49	и все же	1	2
50	как мы видели	2	2
51	по существу же	1	1
52	по разным причинам	1	1
53	взятое само по	2	1
54	все эти точки	1	1
55	но это конечно	1	1
56	что иное как	4	1
57	что в этом	1	1
58	жизни и деятельности	1	1
59	во что бы	1	1
60	то ни стало	1	1
61	на котором он	1	1
62	так же и	1	1
63	и во всяком	1	1
64	и в частности	2	1
65	требует от нас	1	1
66	в целом но	1	1
67	равно как и	1	1
68	но даже и	4	1
69	и по существу	1	1
70	еще и другие	1	1
71	он не только	1	1
72	крайней мере в	1	1
73	в этом случае	5	1
74	с этим не	1	1
75	как раз и	4	1
76	мы не должны	1	1
77	до сих пор	2	1
78	все дело заключается	1	1
79	по существу своему	1	1
80	отрыве от всего	1	1
81	от которой он	1	1
82	бы то ни	4	1
83	не менее по	1	1
84	при этом в	1	1
85	а может быть	1	1
86	не было бы	3	1
87	только то что	2	1
88	то и в	1	1
89	в собственном смысле	1	1
90	что в нем	1	1
91	же оказывается что	1	1
92	на этот вопрос	1	1
93	только при помощи	2	1
94	потому что для	1	1
95	от всего прочего	1	1
96	по себе в	1	1
97	и не в	1	1
98	и тем не	3	1
99	может быть и	3	1
100	и в своем	1	1
101	что бы то	1	1
102	но в том	2	1
103	можно сказать о	1	1
104	что это за	3	1
105	нечто такое что	1	1
106	если исходить из	1	1
107	время и в	1	1
108	до конца и	1	1
109	чем же тут	1	1
110	почти можно сказать	1	1
111	и все его	1	1
112	можно сколько угодно	1	1
113	заключается не в	1	1
114	и как бы	2	1
115	то время как	4	1
116	как и вообще	1	1
117	у него с	1	1
118	нам представляется что	1	1
119	мы должны выставить	1	1
120	хотя как мы	1	1
121	собственном смысле слова	1	1
122	ни в какие	1	1
123	дело заключается в	1	1
124	в первую очередь	3	1
125	только в очень	1	1
126	не может быть	5	1
127	в целом а	1	1
128	здесь перед нами	2	1
129	по себе не	1	1
130	далеко не все	1	1
131	в той же	1	1
132	ничего общего с	2	1
133	только в результате	1	1
134	и ни в	2	1
135	по себе как	2	1
136	мы находим у	1	1
137	имел в виду	1	1
138	и особенно в	1	1
139	но только в	2	1
140	данном случае мы	1	1
141	имеет никакого отношения	1	1
142	содержат в себе	1	1
143	петра i и	1	1
144	к выводу что	1	1
145	это значит что	2	1
146	будет сказать что	1	1
147	в самом деле	1	1
148	тогда когда мы	1	1
149	можно сказать что	2	1
150	только тогда когда	1	1
151	даже и при	1	1
152	также и то	4	1
153	то в чем	1	1
154	но это не	1	1
155	и больше ничего	2	1
156	если не прямо	1	1
157	не что иное	4	1
158	чем он сам	1	1
159	как бы мы	1	1
160	в сравнении с	2	1
161	никак не может	2	1
162	с которыми мы	1	1
163	для того чтобы	1	1
164	взятый сам по	2	1
165	может быть в	1	1
166	к тому же	1	1
167	в отрыве от	1	1
168	себе представить как	1	1
169	и т д	13	1
170	и в поисках	1	1
