N	3gram	Tiupa_Vved_1	RusskieA
1	в том что	3	15
2	состоит в том	2	8
3	в этом случае	1	5
4	как мы увидим	1	5
5	в связи с	1	4
6	о том что	4	4
7	в настоящее время	1	3
8	мы не можем	1	3
9	тем не менее	3	3
10	что иное как	1	2
11	в е годы	1	2
12	но это не	1	2
13	в равной степени	1	2
14	все же не	1	2
15	в свою очередь	4	2
16	мы увидим ниже	1	2
17	сближает его с	1	2
18	не что иное	1	2
19	ни о каких	1	1
20	хотя и не	1	1
21	в нашем сознании	1	1
22	и того же	1	1
23	в противном случае	1	1
24	по отношению к	7	1
25	на самом деле	3	1
26	подобно тому как	2	1
27	но и по	1	1
28	состояла в том	1	1
29	только по отношению	1	1
30	в таком случае	1	1
31	к празднику рождества	1	1
32	и та же	1	1
33	в этом отношении	4	1
34	судя по всему	1	1
35	можно было бы	2	1
36	каждый из этих	1	1
37	тогда как в	1	1
38	оно связано с	1	1
39	у него нет	1	1
40	не только в	2	1
41	по своему происхождению	1	1
42	объясняется тем что	1	1
43	как будто бы	3	1
44	в отличие от	2	1
45	и в этом	1	1
46	потому что она	1	1
47	во всяком случае	1	1
48	одна и та	1	1
49	здесь мы имеем	1	1
50	в этом ряду	2	1
51	к этому времени	1	1
52	ни одна из	1	1
53	можно сказать что	1	1
54	на то что	1	1
55	одного и того	1	1
56	в этих случаях	2	1
57	собой не что	1	1
58	как и в	2	1
59	в данном случае	6	1
60	как мы видели	2	1
