N	2gram	Vinokur_Ku_2	StatiiOP
1	и в	23	44
2	в том	19	36
3	и т	39	30
4	что в	10	30
5	том что	11	29
6	в академическом	1	23
7	в этом	18	21
8	т д	14	21
9	вовсе не	9	19
10	не только	20	18
11	то что	9	18
12	было бы	15	17
13	о том	1	17
14	а в	3	17
15	а не	10	16
16	и не	16	16
17	может быть	15	15
18	т е	22	15
19	в области	11	14
20	в данном	4	14
21	как в	3	13
22	можно было	9	13
23	не в	8	12
24	самом деле	9	11
25	в этой	6	11
26	того чтобы	11	11
27	у нас	12	11
28	я думаю	1	11
29	точки зрения	14	11
30	но в	11	10
31	ясно что	5	10
32	для того	9	10
33	что он	5	10
34	только в	5	10
35	но и	7	10
36	также и	5	9
37	как и	2	9
38	в отношении	2	9
39	в то	4	9
40	но также	4	9
41	так и	4	9
42	если бы	12	9
43	того что	3	9
44	в его	5	9
45	т п	24	9
46	с другой	8	9
47	все же	7	8
48	но ведь	1	8
49	это не	6	8
50	с точки	8	8
51	и его	3	8
52	не может	9	8
53	на эти	1	7
54	я не	5	7
55	что они	2	7
56	в самом	12	7
57	в статье	3	7
58	так например	1	7
59	таким образом	5	7
60	другой стороны	7	7
61	для нас	4	7
62	этом отношении	3	7
63	до сих	1	7
64	прежде всего	8	7
65	сих пор	1	7
66	нас нет	1	7
67	сказать что	4	7
68	по поводу	2	7
69	на самом	2	6
70	со стороны	4	6
71	из этих	1	6
72	в своей	2	6
73	потому что	25	6
74	данном случае	2	6
75	что и	3	6
76	всяком случае	5	6
77	так что	1	6
78	для него	1	6
79	именно в	3	6
80	дело в	1	6
81	при чем	1	6
82	пушкина как	1	6
83	в той	2	6
84	что же	5	6
85	но это	3	6
86	хотя бы	9	6
87	во всяком	5	6
88	вряд ли	4	5
89	и то	5	5
90	то же	6	5
91	той же	2	5
92	в обеих	1	5
93	уже о	3	5
94	в целом	1	5
95	все эти	12	5
96	в нем	4	5
97	данном отношении	2	5
98	и по	3	5
99	в слове	1	5
100	такой же	1	5
