N	3gram	Tiupa_Lite_3	slovoVRo
1	и т п	1	23
2	то же время	7	12
3	в то же	7	12
4	в той или	1	9
5	той или иной	2	9
6	с точки зрения	3	8
7	в отношении к	1	6
8	в каждый данный	1	5
9	каждый данный момент	1	4
10	с одной стороны	4	4
11	с другой стороны	2	4
12	хотя бы и	1	3
13	в данном случае	4	3
14	более или менее	1	3
15	и там где	1	2
16	может быть только	1	2
17	не только в	2	2
18	а не как	2	2
19	в свою очередь	1	2
20	между автором и	1	2
21	к тому что	1	2
22	и в том	1	2
23	сам он в	1	1
24	нас в данном	1	1
25	не только по	1	1
26	точки зрения которого	1	1
27	а затем и	1	1
28	как бы не	1	1
29	но это не	1	1
30	же время в	1	1
31	в отличие от	5	1
32	никто его не	1	1
33	бы то ни	2	1
34	но и в	2	1
35	в этом отношении	5	1
36	по аналогии с	1	1
37	с этой точки	1	1
38	в процессе своего	1	1
39	и в частности	2	1
40	мы все время	1	1
41	в значительной степени	1	1
42	может быть не	1	1
43	точки зрения говорящего	1	1
44	то ни было	2	1
45	так или иначе	2	1
46	автора и его	1	1
47	потому не может	1	1
48	не может быть	3	1
49	тем не менее	1	1
50	о том что	4	1
51	в эстетический объект	1	1
52	xx века не	1	1
53	в одном из	2	1
54	этой точки зрения	1	1
55	никогда не бывает	1	1
56	не только не	1	1
57	и потому не	1	1
58	состояние его души	1	1
59	с жизнью и	1	1
60	это не только	1	1
61	данном случае не	1	1
62	для того чтобы	1	1
63	в том что	4	1
64	произведение в целом	1	1
