N	3gram	Kanaev_Sov_1	Vladivir
1	в том что	1	7
2	в свое время	1	5
3	в то же	1	4
4	в этом смысле	1	4
5	на этот раз	1	4
6	то же время	1	4
7	дело в том	1	4
8	не может быть	4	3
9	и тот же	1	2
10	и в то	1	2
11	один и тот	1	2
12	так как он	2	2
13	мы знаем что	1	2
14	тем не менее	2	2
15	во всяком случае	2	2
16	с одной стороны	1	1
17	в этой области	1	1
18	в которой он	1	1
19	одной и той	1	1
20	бы то ни	1	1
21	этот раз из	1	1
22	и в этом	1	1
23	не будет ли	1	1
24	и что она	1	1
25	и ни в	1	1
26	а в конце	1	1
27	и не может	1	1
28	заключать в себе	1	1
29	в дальнейшем мы	1	1
30	и ничего не	1	1
31	в настоящее время	2	1
32	не что иное	1	1
33	и той же	1	1
34	но отнюдь не	1	1
35	не только своей	1	1
36	не имеют против	1	1
37	в течение нескольких	1	1
38	в связи с	1	1
39	в самом деле	1	1
40	есть не что	1	1
41	раз и навсегда	1	1
42	в науке и	1	1
43	что иное как	1	1
44	через несколько времени	1	1
45	мы уже знаем	1	1
46	со всеми его	1	1
47	на другой день	1	1
48	в свою очередь	2	1
49	ничего не имеют	1	1
50	то ни было	1	1
