N	3gram	Losev_Vlad_3	DiskursI
1	в отличие от	3	12
2	в данном случае	2	6
3	в том что	10	6
4	то же время	2	5
5	в этом отношении	2	4
6	в то же	3	4
7	с одной стороны	3	4
8	не может быть	6	3
9	при всей своей	1	3
10	о том что	8	3
11	той или иной	1	3
12	одной стороны и	2	2
13	в этом случае	1	2
14	что же касается	5	2
15	жизни а также	1	2
16	с точки зрения	6	2
17	но в данном	1	2
18	в первую очередь	1	2
19	в основе своей	1	2
20	одно и то	1	2
21	и то что	4	2
22	содержит в себе	4	2
23	и то же	1	2
24	дело в том	5	2
25	том что в	3	1
26	все дело в	1	1
27	потому что в	1	1
28	в самом деле	1	1
29	с которого начинается	1	1
30	так и его	1	1
31	не имеют никакого	1	1
32	с другой стороны	2	1
33	имеют никакого отношения	1	1
34	и в то	2	1
35	бы то ни	3	1
36	только то что	1	1
37	то что в	3	1
38	в другом и	1	1
39	но и здесь	1	1
40	а с другой	2	1
41	одна из них	1	1
42	отнюдь не является	1	1
43	еще не есть	1	1
44	в это время	2	1
45	и с их	1	1
46	как и его	1	1
47	то ни было	1	1
48	к своему собственному	1	1
49	а также и	6	1
50	как будто бы	1	1
51	том что и	1	1
52	так и с	1	1
53	такой же как	1	1
54	быть и не	1	1
55	во всяком случае	3	1
56	то есть оно	2	1
57	и называет этот	1	1
58	в иных случаях	1	1
59	с самого начала	1	1
60	но все эти	1	1
61	в себя и	1	1
62	включает в себя	1	1
63	он не считает	1	1
64	же касается самого	1	1
65	в том числе	1	1
66	возможна только в	1	1
67	был погружен в	1	1
68	тем не менее	9	1
69	все то что	1	1
70	в себе не	1	1
71	христа несмотря на	1	1
72	не только от	1	1
73	не говоря уже	1	1
