N	3gram	Tiupa_Narr_2	Poddanst
1	в то же	3	7
2	то же время	3	7
3	не только в	6	4
4	в том что	8	4
5	с точки зрения	2	3
6	с одной стороны	5	3
7	одной стороны и	1	2
8	и в то	1	2
9	но и в	2	2
10	в полной мере	1	2
11	в том виде	1	1
12	да и не	1	1
13	более или менее	1	1
14	в этом смысле	1	1
15	или хотя бы	1	1
16	начала и конца	1	1
17	что с точки	1	1
18	и не может	2	1
19	в отличие от	5	1
20	и быть может	1	1
21	в определенный момент	1	1
22	так же как	2	1
23	было в прошлом	1	1
24	по сравнению с	1	1
25	не в том	1	1
26	во всяком случае	1	1
27	не может быть	2	1
28	и не столько	1	1
29	именно в рамках	1	1
30	и тем самым	2	1
31	в частности в	1	1
32	тем более что	1	1
33	в большинстве случаев	1	1
34	в xix в	1	1
35	в известном смысле	3	1
36	для того чтобы	1	1
37	тех кто не	1	1
