N	3gram	Berdyaev_N_1	Sovremen
1	в зависимости от	1	4
2	не может быть	4	4
3	во всяком случае	1	2
4	в отличие от	1	2
5	хотим сказать что	1	1
6	такой же мере	1	1
7	в известном смысле	1	1
8	не могут быть	1	1
9	но это уже	1	1
10	в такой же	1	1
11	не в том	1	1
12	но для чего	1	1
13	равно как и	2	1
14	и до сих	1	1
15	в новое время	1	1
16	может иметь только	1	1
17	в этом смысле	2	1
18	когда мы говорим	2	1
19	так же как	2	1
20	века с ее	1	1
21	то нет и	1	1
22	до сих пор	1	1
23	и во всех	1	1
24	сами по себе	1	1
25	это значит что	1	1
26	не хотим сказать	1	1
27	совершенно так же	1	1
28	заключает в себе	1	1
29	можно было бы	1	1
30	и не может	1	1
31	мы говорим о	1	1
32	может быть только	1	1
33	в том случае	1	1
34	в том что	1	1
35	она не может	2	1
36	с одной стороны	2	1
