N	2gram	Ircho_Kome_1	VerxiiNi
1	и в	22	26
2	таким образом	8	22
3	с тем	1	18
4	в этом	3	15
5	вместе с	2	15
6	точки зрения	4	13
7	как бы	1	12
8	в том	11	11
9	из этих	1	10
10	не только	10	10
11	и с	3	10
12	может быть	9	10
13	после смерти	3	10
14	в области	2	9
15	так как	4	9
16	но и	11	9
17	что в	6	9
18	но не	2	8
19	в общем	1	8
20	главным образом	3	8
21	и у	3	8
22	с другой	5	8
23	и не	8	8
24	как на	1	8
25	но в	4	7
26	связанные с	2	7
27	но все	1	7
28	из них	10	7
29	том что	12	7
30	потому что	5	7
31	к нему	2	7
32	с одной	3	7
33	то что	2	7
34	а с	1	7
35	одной стороны	3	7
36	того же	2	6
37	представление о	1	6
38	все же	3	6
39	в себе	2	6
40	всяком случае	2	6
41	в отношении	6	6
42	к тому	6	6
43	так и	5	6
44	о том	8	6
45	в конце	6	6
46	что и	4	6
47	несмотря на	4	6
48	и потому	1	6
49	все это	5	6
50	во всяком	2	6
51	отношение к	3	5
52	сих пор	2	5
53	и к	1	5
54	тому же	6	5
55	в силу	2	5
56	в мире	1	5
57	или менее	2	5
58	того чтобы	1	5
59	для того	1	5
60	образом в	2	5
61	в его	5	5
62	до сих	2	5
63	к жизни	1	5
64	и для	1	5
65	так же	3	5
66	одной из	3	5
67	более или	1	5
68	том числе	1	5
69	в котором	4	4
70	то же	6	4
71	при жизни	1	4
72	в течение	3	4
73	целый ряд	1	4
74	в самом	2	4
75	в этой	7	4
76	и по	6	4
77	что все	1	4
78	то есть	1	4
79	должен был	1	4
80	он не	3	4
81	далеко не	1	4
82	в которых	1	4
83	в то	10	4
84	в нем	4	4
85	а в	6	4
86	и что	1	4
87	и только	1	4
88	только в	3	4
89	к своим	1	4
90	на этот	1	4
91	не может	2	4
92	из которых	2	4
93	в этих	1	4
94	во время	5	4
95	что он	6	4
96	в виде	3	4
97	же как	3	3
98	из всех	2	3
99	большей частью	2	3
100	в народном	5	3
101	если в	1	3
102	к сожалению	2	3
103	в своем	1	3
104	когда он	1	3
105	и как	3	3
106	за собой	1	3
107	в которой	6	3
108	что это	1	3
109	так или	1	3
110	и те	1	3
111	при этом	5	3
112	европейской культуры	1	3
113	всегда и	1	3
114	подойти к	1	3
115	тем не	2	3
116	не менее	3	3
117	представляет собой	1	3
118	к концу	1	3
119	в других	2	3
120	и о	3	3
121	с самого	1	3
122	культуры и	1	3
123	ясно что	4	3
124	в значительной	1	3
125	путь к	2	3
126	того что	1	3
127	хотя бы	1	3
128	в качестве	4	3
129	так что	1	3
130	что эти	1	3
131	связывается с	1	3
132	в одном	8	3
133	и даже	5	3
134	или иначе	1	3
135	с ней	1	3
136	в рамках	2	3
137	каждая из	1	3
138	с этой	1	3
139	и таким	2	3
140	в результате	4	3
141	у них	1	3
142	конце концов	4	3
143	отношению к	3	3
144	и другие	1	3
145	к этому	4	3
146	в таком	1	3
147	одним из	1	2
148	и это	1	2
149	и больше	1	2
150	ни у	1	2
151	и заставляет	1	2
152	еще не	2	2
153	и на	3	2
154	бы то	2	2
155	во всех	1	2
156	различия между	1	2
157	друг на	1	2
158	относится к	2	2
159	что именно	1	2
160	и материальной	1	2
161	он в	1	2
162	с тех	1	2
163	на то	3	2
164	не могла	1	2
165	с именем	1	2
166	не к	2	2
167	из него	1	2
168	его от	1	2
169	состоит в	1	2
170	людей и	1	2
171	то ни	2	2
172	те же	1	2
173	них не	1	2
174	на все	2	2
175	с целью	1	2
176	в них	3	2
177	к которым	1	2
178	мы видели	2	2
179	но если	1	2
180	которые в	1	2
181	не в	6	2
182	вплоть до	1	2
183	самого начала	1	2
184	для каждого	1	2
185	тех пор	1	2
186	новых богов	1	2
187	больше чем	1	2
188	же время	4	2
189	и после	1	2
190	так например	1	2
191	этом отношении	3	2
192	ему в	1	2
193	ли это	2	2
194	и здесь	2	2
195	не могут	1	2
196	те и	1	2
197	но при	1	2
198	приводит к	1	2
199	в образе	3	2
200	особенно в	1	2
201	можно только	1	2
202	для этого	2	2
203	к одной	1	2
204	а также	4	2
205	в пользу	1	2
206	между тем	5	2
207	быть даже	2	2
208	вслед за	2	2
209	наконец в	1	2
210	по своей	2	2
211	один из	5	2
212	тот же	3	2
213	этот факт	1	2
