N	3gram	Berdyaev_N_1	FransuaR
1	в том что	1	6
2	так же как	2	4
3	в том числе	1	4
4	и во всех	1	3
5	в нем не	1	3
6	до сих пор	1	3
7	и не в	1	2
8	в большинстве случаев	1	2
9	в отличие от	1	2
10	в средние века	3	2
11	совершенно так же	1	2
12	в то время	1	2
13	можно было бы	1	2
14	и не могут	1	2
15	же как и	1	2
16	том числе и	1	2
17	не может быть	4	2
18	о том что	1	1
19	и не менее	1	1
20	в основе их	1	1
21	них не существует	1	1
22	будущее и это	1	1
23	как и в	1	1
24	и в формах	1	1
25	и в наши	1	1
26	это конечно не	1	1
27	не будет уже	1	1
28	она сама себя	1	1
29	и того же	1	1
30	старого мира и	1	1
31	по своему духу	1	1
32	он не может	2	1
33	знаем также что	1	1
34	но до этого	1	1
35	в значительной степени	1	1
36	находится во власти	1	1
37	нового времени в	1	1
38	в них будут	1	1
39	к жизни и	1	1
40	конечно не в	1	1
41	это связано с	1	1
42	одного и того	1	1
43	проблема жизни и	1	1
44	вместе с тем	2	1
45	то что в	1	1
46	и общественной жизни	5	1
47	в эпоху ренессанса	1	1
48	для них не	1	1
