N	3gram	Bakhtin_sl_1	DiskursI
1	в отличие от	1	12
2	в данном случае	3	6
3	в том что	1	6
4	то же время	12	5
5	как и в	1	5
6	в этом отношении	1	4
7	в то же	12	4
8	с одной стороны	4	4
9	так и в	3	3
10	не может быть	1	3
11	о том что	1	3
12	той или иной	9	3
13	в этом случае	2	2
14	с точки зрения	8	2
15	и не может	2	2
16	одно и то	2	2
17	своего и чужого	2	2
18	так и на	1	2
19	и то же	2	2
20	дело в том	1	2
21	в свое время	1	2
22	и прежде всего	1	2
23	дистанции между ними	1	1
24	себя в нем	3	1
25	в той или	9	1
26	и столь же	1	1
27	все дело в	1	1
28	прежде всего в	1	1
29	и вследствие этого	1	1
30	же время и	1	1
31	не должно быть	1	1
32	того или иного	2	1
33	и там где	2	1
34	с другой стороны	4	1
35	в одних случаях	1	1
36	в лирике но	1	1
37	и в то	5	1
38	до известной степени	2	1
39	бы то ни	1	1
40	данном случае не	1	1
41	по аналогии с	1	1
42	рассеянной чужой речи	1	1
43	но и здесь	3	1
44	но это не	1	1
45	к одному из	1	1
46	и в частности	1	1
47	в значительной степени	1	1
48	между автором и	2	1
49	дело не с	2	1
50	то ни было	1	1
51	мы все же	1	1
52	между настоящим и	1	1
53	жизни но и	1	1
54	отношение к своему	2	1
55	а также и	1	1
56	не столько в	1	1
57	непосредственно возникает из	1	1
58	не могут быть	2	1
59	а не как	2	1
60	и может не	1	1
61	во всяком случае	5	1
62	и той же	1	1
63	ближе к тому	1	1
64	равно как и	1	1
65	в одном из	1	1
66	то есть в	1	1
67	и романного слова	1	1
68	и оценки и	1	1
69	с самого начала	1	1
70	в пределах одной	2	1
71	к чужому слову	4	1
72	между романом и	1	1
73	но в этом	1	1
74	друг друга и	1	1
75	включает в себя	1	1
76	можно сказать что	1	1
77	мы ничего не	1	1
78	существенную роль в	1	1
79	в большинстве случаев	6	1
80	одной и той	1	1
81	тем не менее	1	1
82	по крайней мере	1	1
83	в пределах одного	1	1
84	который не был	1	1
