N	3gram	Losev_Dial_2	EvropaiC
1	в том что	6	16
2	до сих пор	2	12
3	друг с другом	1	9
4	с точки зрения	8	8
5	на самом деле	1	7
6	более или менее	2	7
7	в самом деле	3	5
8	по сравнению с	1	5
9	может быть и	3	4
10	к тому же	1	4
11	с другой стороны	4	4
12	не может быть	3	4
13	о том что	4	4
14	тем не менее	2	4
15	в конце концов	1	4
16	не может не	3	3
17	никогда не будет	1	3
18	и то что	1	3
19	так же как	1	3
20	в данном случае	2	3
21	так или иначе	2	3
22	все же не	1	3
23	в связи с	4	3
24	заключается в том	1	3
25	и может быть	3	2
26	не в состоянии	2	2
27	в том и	1	2
28	том что он	1	2
29	которые по своей	1	2
30	принять во внимание	3	2
31	из поставленных выше	1	2
32	как и все	2	2
33	только то что	4	2
34	совершенно иной чем	1	2
35	бы то ни	1	2
36	то же время	4	2
37	вместе с тем	1	2
38	с одной стороны	1	2
39	во всяком случае	2	2
40	что несмотря на	1	2
41	нечего и говорить	1	2
42	но все же	1	2
43	том что все	1	2
44	в то же	3	2
45	поставленных выше вопросов	1	2
46	и в том	1	2
47	котором мы только	1	1
48	уже знаем что	1	1
49	тогда когда оно	2	1
50	должно быть всякому	1	1
51	мы уже говорили	1	1
52	можно представить себе	1	1
53	в целом есть	1	1
54	того что в	1	1
55	и то же	4	1
56	иметь в виду	2	1
57	то время как	3	1
58	это было бы	1	1
59	мы уже сказали	1	1
60	не говоря уже	2	1
61	но при этом	1	1
62	в этом пункте	1	1
63	так что в	1	1
64	то же самое	2	1
65	и тем больше	1	1
66	то что эти	1	1
67	и не может	1	1
68	говоря уже о	2	1
69	они вовсе не	1	1
70	в зависимости от	2	1
71	мы находим в	1	1
72	независимо от того	1	1
73	говорить о них	1	1
74	за то что	1	1
75	точно так же	1	1
76	которые не могут	1	1
77	в одинаковой мере	1	1
78	не есть ли	4	1
79	в себе и	1	1
80	по крайней мере	9	1
81	разница будет только	1	1
82	одно и то	4	1
83	так как все	1	1
84	быть если в	1	1
85	не забудем что	1	1
86	что если это	1	1
87	во внимание что	1	1
88	это может быть	1	1
89	всех указанных выше	1	1
90	и с точки	1	1
91	на первый взгляд	1	1
92	поставленного выше вопроса	1	1
93	на задний план	1	1
94	как и вообще	1	1
95	приводит к тому	1	1
96	не в том	1	1
97	хотя бы это	3	1
98	от того будет	1	1
99	в нем не	1	1
100	я не могу	1	1
101	о котором мы	1	1
102	того будет ли	1	1
103	такое положение дела	1	1
104	том и в	1	1
105	представить себе как	1	1
106	и не очень	1	1
107	есть ли это	1	1
108	именно в том	1	1
109	сливаются в одно	1	1
110	в широком смысле	2	1
111	к освобождению от	1	1
112	надо сказать что	1	1
113	до тех пор	1	1
114	в то время	3	1
115	все эти элементы	1	1
116	та или иная	2	1
117	как бы ни	2	1
118	и идет по	1	1
119	с самого начала	2	1
120	это была самая	1	1
121	не менее в	1	1
122	несмотря на все	1	1
123	ни тем более	1	1
124	которые могут быть	1	1
125	в другом случае	1	1
126	к тому что	1	1
127	и в нем	1	1
128	во многих отношениях	1	1
129	мы уже знаем	3	1
130	только одно из	1	1
131	так как из	1	1
132	несмотря на всю	1	1
133	как и та	1	1
134	только тогда когда	4	1
135	мы только что	1	1
136	и в другом	1	1
