N	3gram	Ircho_Kome_2	VLabPisa
1	и т п	2	9
2	с другой стороны	1	8
3	не может быть	1	8
4	по отношению к	3	7
5	более или менее	1	6
6	то же время	3	5
7	в то же	3	5
8	не было бы	1	4
9	в связи с	3	4
10	в том что	5	4
11	в силу этого	2	3
12	и в то	1	3
13	вместе с тем	4	3
14	в этой области	1	3
15	о том что	4	3
16	хотя бы в	1	3
17	к тому что	2	3
18	как это видно	1	2
19	в чем же	1	2
20	чуть ли не	2	2
21	в том числе	3	2
22	до сих пор	2	2
23	можно было бы	2	2
24	это видно из	1	2
25	с одной стороны	2	2
26	во всяком случае	2	2
27	в частности в	2	2
28	том числе и	1	2
29	для того чтобы	4	2
30	чем отличается от	1	1
31	во всех других	1	1
32	другой стороны он	1	1
33	в какой мере	1	1
34	по существу своему	1	1
35	то время как	2	1
36	в самом деле	1	1
37	в этом смысле	2	1
38	в соответствии с	1	1
39	в том же	1	1
40	состоял в том	1	1
41	как это было	1	1
42	и во всех	1	1
43	говоря уже о	2	1
44	автор не пишет	1	1
45	что он не	1	1
46	спустя три года	1	1
47	но и в	1	1
48	только в том	1	1
49	то что в	1	1
50	первого из них	1	1
51	в этом же	2	1
52	так или иначе	3	1
53	по этому вопросу	1	1
54	может быть даже	1	1
55	не только в	1	1
56	в каком направлении	1	1
57	того обстоятельства что	1	1
58	таким образом и	1	1
59	как видно из	1	1
60	как будто бы	1	1
61	по сравнению с	1	1
62	одна из них	1	1
63	не следует забывать	1	1
64	имеем дело с	1	1
65	освобождает его от	1	1
66	и не слишком	1	1
67	в системе образов	1	1
68	следует забывать что	1	1
69	дошедших до нас	1	1
70	того или иного	1	1
71	сих пор не	1	1
72	у него в	1	1
73	а вместе с	1	1
74	в то время	3	1
75	не пишет для	1	1
76	не говоря уже	2	1
77	в свою очередь	1	1
78	одной из этих	1	1
79	не обходится без	1	1
80	той или иной	1	1
81	и есть для	2	1
82	после того как	2	1
83	ли не все	1	1
84	у первого из	1	1
85	и мира в	1	1
86	мы имеем дело	1	1
87	мало чем отличается	1	1
88	из действующих лиц	1	1
89	к тому же	10	1
90	как мы знаем	1	1
91	и опирается на	1	1
