N	3gram	Medvedev_V_1	StatiiOP
1	в том что	5	16
2	о том что	3	11
3	в этом отношении	13	9
4	и т д	14	6
5	до сих пор	1	5
6	в письме к	8	5
7	вместе с тем	3	5
8	для того чтобы	3	5
9	к тому что	3	5
10	что он не	1	4
11	после того как	1	4
12	в одном из	3	3
13	иметь в виду	2	3
14	и т п	9	3
15	так же как	1	3
16	с другой стороны	8	3
17	во всяком случае	1	3
18	вопрос о том	1	3
19	что в своем	1	3
20	в другом месте	2	2
21	говорит об этом	1	2
22	в том же	1	2
23	сами по себе	1	2
24	известном письме к	1	2
25	то что в	1	2
26	в известном письме	1	2
27	одном из писем	2	2
28	не в том	2	2
29	более или менее	6	2
30	не только не	2	2
31	в самом деле	1	2
32	из писем к	2	2
33	по этому поводу	7	2
34	в том смысле	1	2
35	к тому же	1	2
36	а между тем	1	1
37	и в ту	1	1
38	таким образом уже	1	1
39	и в результате	1	1
40	в прямом смысле	1	1
41	и он отстаивает	1	1
42	в виду что	1	1
43	следует подчеркнуть что	1	1
44	в конце года	1	1
45	не говоря уже	1	1
46	его собственному признанию	1	1
47	в этом смысле	1	1
48	т е не	1	1
49	на почве этих	1	1
50	в печатном тексте	1	1
51	в процессе работы	4	1
52	из них и	1	1
53	говоря уже о	1	1
54	на этот вопрос	1	1
55	и в другом	2	1
56	характеристики действующих лиц	1	1
57	что конечно не	1	1
58	и др в	3	1
59	именно в этом	1	1
60	говорит о том	1	1
61	в зависимости от	5	1
62	одно и то	1	1
63	а как бы	1	1
64	уже о том	1	1
65	т е в	2	1
66	в чем же	2	1
67	в данном случае	1	1
68	горя от ума	1	1
69	том смысле что	1	1
70	в конце концов	2	1
71	понимать в том	1	1
72	том же духе	1	1
73	и то же	1	1
74	очень близко к	1	1
75	имеет ничего общего	1	1
76	по сравнению с	1	1
77	и вместе с	1	1
78	одним из наиболее	1	1
79	от ума и	1	1
80	так или иначе	1	1
81	ту же ночь	1	1
82	в связи с	3	1
83	своем рассказе о	1	1
84	творческих сил в	1	1
85	этого образа в	1	1
86	с другой в	1	1
87	в ту же	1	1
88	нельзя не признать	1	1
89	к этому и	1	1
90	нет ни одного	1	1
91	по отношению к	7	1
92	то же время	5	1
93	в своем рассказе	1	1
94	в то время	1	1
95	в том чтобы	2	1
96	в свою очередь	1	1
97	и очевидно что	1	1
98	жанровых особенностей и	1	1
99	ничего общего с	1	1
100	и речи о	1	1
101	в статье о	1	1
102	по его мнению	1	1
103	но и он	2	1
104	все это имеет	1	1
105	хотя бы уже	1	1
106	в то же	5	1
107	в том числе	2	1
108	таким образом в	2	1
109	по его собственному	1	1
110	дело не в	1	1
111	одним из элементов	1	1
112	не имеет ничего	1	1
