N	3gram	Bakhtin_Pr_1	Myshleni
1	в том что	3	17
2	для того чтобы	2	7
3	в отличие от	5	6
4	в высшей степени	5	6
5	можно было бы	3	5
6	с одной стороны	3	5
7	в связи с	1	5
8	тем не менее	3	5
9	ни в какой	1	4
10	то время как	1	4
11	смысле этого слова	1	4
12	в то время	1	4
13	в его состав	1	4
14	сами по себе	1	3
15	в этом отношении	2	3
16	по сравнению с	1	3
17	с другой стороны	4	3
18	та или иная	1	3
19	с тем что	1	3
20	на то что	1	3
21	имеет дело с	4	2
22	по отношению к	19	2
23	в этом смысле	3	2
24	с помощью которого	1	2
25	и в этом	1	2
26	на первый план	2	2
27	как мы увидим	3	2
28	то что в	1	2
29	не может быть	11	2
30	того или иного	2	2
31	так и в	2	2
32	в свою очередь	1	2
33	к выводу что	1	2
34	той или иной	2	2
35	в готовом виде	1	2
36	как мы уже	1	2
37	как и в	1	2
38	сказали бы что	1	1
39	что иное как	1	1
40	мы сказали бы	1	1
41	отличается от чисто	1	1
42	прежде всего следует	1	1
43	содержания и формы	1	1
44	как и для	2	1
45	да и не	1	1
46	на том основании	1	1
47	подобно тому как	1	1
48	то же самое	2	1
49	о том как	1	1
50	с точки зрения	6	1
51	до сих пор	1	1
52	хотя бы и	1	1
53	по отношению ко	1	1
54	со всеми другими	1	1
55	бы то ни	3	1
56	между тем как	5	1
57	и менее всего	1	1
58	по аналогии с	1	1
59	могли бы быть	1	1
60	что дело идет	1	1
61	как в его	1	1
62	едва ли может	1	1
63	отнюдь не является	1	1
64	со всеми его	1	1
65	в применении к	3	1
66	не что иное	1	1
67	в данном случае	4	1
68	не в его	1	1
69	никакому сомнению что	1	1
70	находит свое отражение	1	1
71	не только в	2	1
72	приходится иметь дело	2	1
73	то ни было	2	1
74	и в его	1	1
75	значительной степени и	1	1
76	тем как мы	1	1
77	в значительной степени	1	1
78	им самим и	1	1
79	не могут быть	2	1
80	которые могли бы	1	1
81	который мог бы	1	1
82	имеем дело с	1	1
83	все эти моменты	2	1
84	не может возникнуть	1	1
85	в связи со	1	1
86	и в том	1	1
87	следует остановиться ибо	1	1
88	с его помощью	1	1
89	всего следует отметить	1	1
90	имеет место в	2	1
91	есть не что	1	1
92	в него как	1	1
93	и как бы	1	1
94	в своих более	1	1
95	раз и навсегда	1	1
96	том основании что	1	1
97	человека и его	1	1
98	в совершенно разных	1	1
99	если бы мы	1	1
100	скажем только что	1	1
101	начало и конец	2	1
102	и в самом	1	1
103	ли может быть	1	1
104	выходит за пределы	1	1
105	не выходит за	1	1
106	и как мы	1	1
107	в известной степени	2	1
108	содержание так и	1	1
109	это имеет место	1	1
110	которой можно было	1	1
111	к тому что	1	1
112	к вопросу о	1	1
113	снова и снова	1	1
114	лежит не в	1	1
115	в основных чертах	1	1
116	отнюдь не совпадает	1	1
117	с первого же	1	1
