N	4gram	Losev_Prob_3	Myshleni
1	заключается в том что	2	4
2	в собственном смысле слова	1	3
3	заключается в том чтобы	1	3
4	мы уже видели что	1	2
5	дело в том что	2	1
6	ответ на этот вопрос	1	1
7	только для того чтобы	1	1
8	в той или иной	2	1
9	той или иной мере	2	1
10	не имеют ничего общего	1	1
11	как мы видели выше	1	1
12	друг к другу и	1	1
13	само по себе не	1	1
14	бы то ни было	3	1
15	в связи с этой	2	1
16	в том что он	1	1
17	ничем не отличается от	1	1
18	в том что всякое	1	1
19	сама по себе является	1	1
20	в том смысле что	3	1
21	не только то что	1	1
22	указанием на то что	1	1
23	имеют ничего общего с	1	1
24	в том и заключается	1	1
25	на самом же деле	4	1
