N	3gram	Trubetskoy_1	Problema
1	о том что	4	9
2	с точки зрения	8	8
3	в том что	15	8
4	в связи с	3	7
5	в конце концов	4	6
6	тем не менее	4	5
7	с другой стороны	4	5
8	по крайней мере	1	4
9	до некоторой степени	1	4
10	в настоящее время	2	3
11	и то что	3	3
12	точно так же	1	3
13	вместе с тем	2	3
14	то время как	1	3
15	с одной стороны	2	3
16	а с другой	2	3
17	все же не	3	3
18	в то время	2	3
19	только тогда когда	1	3
20	дело в том	1	2
21	по отношению к	9	2
22	в том числе	1	2
23	никак не может	1	2
24	том что он	2	2
25	мы находим в	1	2
26	до сих пор	8	2
27	также и то	1	2
28	бы то ни	2	2
29	теряет всю свою	1	2
30	в данном случае	3	2
31	не может быть	3	2
32	во всяком случае	2	2
33	но все же	2	2
34	на то что	7	2
35	по этому поводу	1	2
36	для того чтобы	7	2
37	и в конце	1	1
38	а если он	1	1
39	на месте в	1	1
40	хотя и не	1	1
41	не только по	1	1
42	образом как бы	1	1
43	не говоря уже	1	1
44	на самом деле	7	1
45	в самом деле	5	1
46	науки на пользу	1	1
47	во всем мире	1	1
48	свидетельствует о том	1	1
49	он все же	2	1
50	таким образом здесь	2	1
51	в может быть	1	1
52	таким образом как	1	1
53	о том чтобы	2	1
54	с большим трудом	1	1
55	же образом как	1	1
56	между тем как	1	1
57	а так как	1	1
58	мира в результате	1	1
59	если она не	1	1
60	в большей степени	1	1
61	том числе и	1	1
62	можно было бы	1	1
63	лишь о том	1	1
64	с тех пор	1	1
65	несмотря на то	2	1
66	говоря уже о	1	1
67	с этой точки	1	1
68	и состоит из	1	1
69	не были бы	1	1
70	тоже представляет собою	1	1
71	в истинном смысле	1	1
72	уже о том	1	1
73	таким образом мы	1	1
74	то ни было	2	1
75	на первый взгляд	1	1
76	тот факт что	4	1
77	на задний план	1	1
78	состоит в том	1	1
79	друг на друга	1	1
80	это не так	1	1
81	как и вообще	1	1
82	так или иначе	5	1
83	таким же образом	2	1
84	и при помощи	1	1
85	что у него	1	1
86	греческой и римской	1	1
87	и вообще к	1	1
88	и в том	2	1
89	он вместе с	1	1
90	что несмотря на	2	1
91	этой точки зрения	1	1
92	если мы будем	1	1
93	и таким образом	1	1
94	и с весьма	1	1
95	то же время	2	1
96	и всех других	1	1
97	и сейчас в	1	1
98	то обстоятельство что	1	1
99	все же остается	1	1
100	вот тут-то и	1	1
101	таким образом даже	1	1
102	то есть в	1	1
103	с самого начала	1	1
104	и до сих	1	1
105	хотя бы в	1	1
106	у них еще	1	1
107	несмотря на всю	1	1
108	в других областях	1	1
109	не менее в	1	1
110	и все прочие	1	1
111	и для того	1	1
112	самом деле надо	1	1
113	в то же	2	1
114	малейшего намека на	1	1
115	по его мнению	1	1
116	к тому же	5	1
117	в нем не	1	1
118	на земле в	1	1
119	бы с более	1	1
