N	3gram	Losev_Prob_3	OGranits
1	с точки зрения	2	5
2	не может быть	5	4
3	есть прежде всего	1	3
4	вполне понятно что	1	3
5	одно и то	3	3
6	что иное как	4	2
7	в самом деле	1	2
8	не чем иным	1	2
9	в данном случае	7	2
10	с одной стороны	1	2
11	и то же	4	2
12	с другой стороны	5	2
13	того или иного	3	2
14	ничего общего с	2	2
15	есть не что	4	2
16	чем иным как	1	2
17	не что иное	4	2
18	в том что	9	2
19	и не является	1	2
20	наметить хотя бы	1	1
21	но это конечно	1	1
22	что в этом	1	1
23	только потому что	2	1
24	само собой разумеется	1	1
25	неразрывно связаны между	1	1
26	в чем же	1	1
27	этой точки зрения	2	1
28	иметь в виду	1	1
29	а вовсе не	2	1
30	более или менее	1	1
31	равно как и	1	1
32	на самом деле	2	1
33	то же самое	7	1
34	углубляться в этот	1	1
35	художественного произведения и	1	1
36	в отличие от	2	1
37	не было бы	3	1
38	только то что	2	1
39	которое мы дали	1	1
40	в собственном смысле	1	1
41	можно было бы	3	1
42	может быть и	3	1
43	смысла художественного произведения	1	1
44	ни о какой	1	1
45	с этой точки	1	1
46	может стать не	1	1
47	является не чем	1	1
48	то или иное	2	1
49	по себе а	3	1
50	и тем что	1	1
51	ту или иную	1	1
52	для того чтобы	1	1
53	с вещами как	1	1
54	так же как	1	1
55	может быть не	1	1
56	если бы мы	1	1
57	едва ли кто-нибудь	1	1
58	мы все же	1	1
59	и в его	3	1
60	ничего общего не	1	1
61	быть и речи	1	1
62	тем не менее	10	1
63	мы собственно говоря	1	1
64	и как бы	2	1
65	все же есть	2	1
66	в одном случае	1	1
67	вовсе не на	1	1
68	но может быть	1	1
69	в связи с	7	1
70	само по себе	3	1
71	это и не	3	1
72	собственном смысле слова	1	1
73	в этот вопрос	1	1
74	потому что они	2	1
75	до такой степени	1	1
76	мы уже видели	1	1
77	что же такое	3	1
78	в тех случаях	1	1
79	смысле слова и	3	1
80	только в связи	1	1
81	собой разумеется что	1	1
82	узком смысле слова	1	1
83	как мог бы	1	1
84	мы не можем	1	1
85	она ни была	2	1
86	та или иная	3	1
87	и никогда не	1	1
88	но что же	1	1
89	на то что	1	1
90	тех случаях когда	1	1
91	в то же	4	1
92	эту точку зрения	1	1
93	к тому что	1	1
94	тех или иных	4	1
95	как и в	1	1
96	только к одному	1	1
97	понимании этого слова	1	1
98	общего не имеет	1	1
