N	4gram	Bakhtin_Pr_2	EvropaiC
1	о котором идет речь	1	5
2	до сих пор не	1	4
3	бы то ни было	1	2
4	в то же время	5	2
5	что до сих пор	1	2
6	дело в том что	1	1
7	одно и то же	2	1
8	мы уже говорили что	2	1
9	с точки зрения всякой	1	1
10	и не может быть	1	1
11	том и в другом	1	1
12	в том числе и	1	1
13	о том что он	1	1
14	в том или ином	1	1
15	в то время как	2	1
16	тем не менее в	1	1
17	в том что он	1	1
18	а может быть и	1	1
19	и в том и	1	1
20	таким образом как бы	1	1
21	и так или иначе	1	1
22	в том и в	1	1
23	и в другом случае	1	1
24	нами до сих пор	1	1
