N	2gram	Savitsky_E_1	Literetu
1	и не	14	22
2	тогда как	1	17
3	в мире	2	16
4	и в	37	16
5	при этом	1	15
6	в этом	12	14
7	не только	18	14
8	но и	14	14
9	в том	11	12
10	может быть	6	12
11	а не	2	12
12	то что	6	12
13	в частности	5	11
14	не в	5	10
15	то же	15	9
16	так и	10	9
17	в то	16	9
18	того что	7	9
19	в этой	2	8
20	в жизни	1	8
21	том что	6	8
22	не может	9	8
23	как бы	6	8
24	в своей	8	7
25	тем самым	5	7
26	же время	14	7
27	только в	9	7
28	со стороны	5	7
29	точки зрения	23	7
30	с его	1	6
31	в себе	9	6
32	состоит в	1	6
33	о том	3	6
34	и его	1	6
35	в его	2	6
36	с другой	7	6
37	к тому	8	6
38	в отличие	1	5
39	отличие от	1	5
40	как в	3	5
41	всего лишь	3	5
42	тому же	1	5
43	то есть	6	5
44	лишь в	1	5
45	соответствии с	1	5
46	как и	7	5
47	в основе	1	5
48	этом отношении	3	5
49	в ее	8	5
50	в качестве	14	5
51	именно в	4	5
52	а именно	2	5
53	вместе с	2	5
54	особого рода	1	5
55	а в	2	5
56	перед лицом	1	4
57	но не	5	4
58	по отношению	1	4
59	в рамках	1	4
60	хотя и	2	4
61	и если	2	4
62	входит в	1	4
63	должно быть	1	4
64	место в	3	4
65	даже в	4	4
66	не говоря	2	4
67	никогда не	3	4
68	говоря уже	2	4
69	данном случае	2	4
70	а также	7	4
71	с одной	8	4
72	в начале	1	4
73	из них	3	4
74	одно из	1	4
75	в одном	2	4
76	как будто	2	4
77	одной стороны	8	4
78	в данном	3	4
79	и для	3	4
80	жизни в	3	4
81	например в	1	3
82	той же	1	3
83	с ее	1	3
84	в сторону	2	3
85	отнюдь не	9	3
86	однако не	1	3
87	и как	2	3
88	и наконец	2	3
89	и к	3	3
90	но в	14	3
91	то в	4	3
92	бы и	3	3
93	на его	1	3
94	а затем	1	3
95	и тем	3	3
96	с точки	17	3
97	по своей	2	3
98	потому что	3	3
99	в области	11	3
100	уже о	1	3
