N	3gram	Losev_Vlad_2	Komedia
1	до сих пор	1	9
2	в том что	9	9
3	в самом деле	1	6
4	для того чтобы	1	6
5	в свою очередь	2	6
6	в то же	3	4
7	о том что	3	4
8	то же время	3	4
9	с самого начала	1	4
10	к тому же	1	4
11	с точки зрения	3	3
12	вместе с тем	1	3
13	в связи с	8	3
14	во всяком случае	6	3
15	до тех пор	1	3
16	тем не менее	6	3
17	хотя и не	2	2
18	само собой разумеется	3	2
19	в какой мере	1	2
20	так или иначе	3	2
21	в этом случае	1	2
22	наряду с этим	1	2
23	бы то ни	1	2
24	в этом отношении	1	2
25	вместе с ним	1	2
26	и с этой	1	2
27	то время как	1	2
28	в конце концов	3	2
29	собой разумеется что	2	2
30	в то время	6	2
31	речь шла о	1	2
32	но все же	1	2
33	на этот раз	3	2
34	насколько мне известно	1	1
35	не могла быть	1	1
36	чуть ли не	1	1
37	более или менее	3	1
38	равно как и	1	1
39	не говоря уже	2	1
40	это в свою	1	1
41	в том числе	1	1
42	когда он был	1	1
43	так и не	2	1
44	друзей и в	1	1
45	на первый план	2	1
46	всего на несколько	1	1
47	говоря уже о	2	1
48	и в то	1	1
49	не было и	1	1
50	в двух словах	1	1
51	в отличие от	3	1
52	в первую очередь	1	1
53	что человек не	1	1
54	за то что	1	1
55	все усилия чтобы	1	1
56	на то что	2	1
57	не о чем	1	1
58	по крайней мере	4	1
59	точки зрения того	1	1
60	и в частности	1	1
61	в самом начале	1	1
62	его отношение к	1	1
63	в настоящее время	2	1
64	в том чтобы	2	1
65	себе отчет в	1	1
66	в течение всей	2	1
67	то что он	3	1
68	из них не	1	1
69	и не могла	1	1
70	к которой мы	1	1
71	но вместе с	1	1
72	из той же	1	1
73	вот о чем	1	1
74	в разной степени	1	1
75	сих пор не	1	1
76	а то что	2	1
77	и в свою	1	1
78	можно сказать что	1	1
79	ничего общего с	1	1
80	мы находим у	1	1
81	к этому времени	2	1
82	и по существу	1	1
83	как мы знаем	4	1
84	этот раз не	1	1
85	после того как	2	1
86	по этому поводу	1	1
87	совсем иное чем	1	1
88	или вовсе не	1	1
89	и в его	2	1
90	и все его	1	1
91	доброго и отзывчивого	1	1
92	в том же	2	1
93	для нас важно	1	1
94	и т д	1	1
95	в свое время	1	1
