N	2gram	Medvedev_F_1	Tragedij
1	и в	24	18
2	в году	2	9
3	в этом	15	9
4	не только	7	8
5	и с	8	7
6	и на	8	7
7	может быть	14	7
8	как бы	6	7
9	и не	20	7
10	но в	5	6
11	и его	10	6
12	в образе	1	6
13	же время	8	6
14	что он	3	6
15	у него	1	6
16	то же	10	5
17	все же	3	5
18	это не	2	5
19	как и	11	5
20	несмотря на	1	5
21	в то	9	5
22	так и	18	5
23	не может	16	5
24	еще не	6	4
25	в себе	3	4
26	в целом	6	4
27	в этой	6	4
28	в нем	14	4
29	том что	1	4
30	и что	2	4
31	но и	7	4
32	и даже	3	4
33	прежде всего	22	4
34	так же	4	4
35	но это	3	4
36	все это	9	4
37	этот образ	2	4
38	что в	4	4
39	и все	6	4
40	то что	8	4
41	в мире	4	3
42	своего рода	1	3
43	отнюдь не	6	3
44	как в	8	3
45	в своем	11	3
46	и как	3	3
47	все эти	6	3
48	при этом	5	3
49	должно быть	11	3
50	тем самым	3	3
51	с ее	7	3
52	мог бы	1	3
53	жизнь и	3	3
54	с ним	2	3
55	к нему	1	3
56	в его	23	3
57	один из	3	3
58	романа и	1	3
59	для него	3	3
60	никто не	1	3
61	как это	6	3
62	в основном	3	3
63	в первом	1	2
64	из самых	1	2
65	и до	5	2
66	а как	2	2
67	никогда не	4	2
68	не был	1	2
69	с его	4	2
70	ее к	2	2
71	отношение к	3	2
72	отличие от	1	2
73	так что	1	2
74	перед нами	1	2
75	впечатление что	2	2
76	в самом	5	2
77	бы и	1	2
78	он не	3	2
79	но все	2	2
80	его в	3	2
81	в это	1	2
82	ни в	2	2
83	нет в	1	2
84	с тем	2	2
85	не мог	1	2
86	в отличие	1	2
87	вопрос о	2	2
88	но эта	2	2
89	не в	8	2
90	раз и	2	2
91	этими двумя	1	2
92	одна из	2	2
93	не имеет	1	2
94	в русском	1	2
95	не могут	1	2
96	он и	1	2
97	к тому	3	2
98	и это	2	2
99	в ее	8	2
100	данном случае	1	2
101	еще в	2	2
102	как у	1	2
103	ничего не	2	2
104	создается впечатление	1	2
105	и здесь	6	2
106	что и	2	2
107	в том	6	2
108	который в	1	2
109	по мнению	1	2
110	между этими	1	2
111	и ее	10	2
112	уже не	2	2
113	в виде	1	2
