N	3gram	Losev_Dial_4	RusskieA
1	в том что	9	15
2	и т д	15	9
3	в этот день	1	8
4	в этом случае	1	5
5	о том что	1	4
6	в связи с	1	4
7	с точки зрения	9	3
8	тем не менее	2	3
9	в это время	1	2
10	но это не	1	2
11	но тем не	1	2
12	что в этом	1	2
13	не что иное	8	2
14	не значит что	1	2
15	в свою очередь	2	2
16	что иное как	8	2
17	но все же	1	2
18	после того как	1	2
19	можно говорить о	1	1
20	подобно тому как	4	1
21	это не имеет	1	1
22	не могут нас	1	1
23	что сам он	1	1
24	в собственном смысле	2	1
25	вопрос о том	1	1
26	точно так же	2	1
27	только тогда когда	4	1
28	и в этом	3	1
29	можно сказать что	1	1
30	из них в	1	1
31	она не имеет	1	1
32	т е в	2	1
33	на то что	3	1
34	иметь в виду	2	1
35	не объясняет ни	1	1
36	точки зрения в	1	1
37	ни одна из	1	1
38	ничего общего с	2	1
39	сказать что в	1	1
40	с тем что	1	1
41	и та же	1	1
42	и этого мало	1	1
43	и не только	1	1
44	имеет ничего общего	2	1
45	из всего этого	1	1
46	не более как	1	1
47	совершенно очевидно что	1	1
48	в отличие от	1	1
49	ни о каких	1	1
50	ничего общего не	2	1
51	на самом же	1	1
52	только потому что	1	1
53	не только в	1	1
54	что бы ни	1	1
55	т е на	1	1
56	которую можно назвать	1	1
57	первые два и	1	1
58	некоторые из них	1	1
59	так как только	1	1
60	мы видим что	2	1
61	и как бы	1	1
62	в виду что	1	1
63	все что я	1	1
64	же как и	1	1
65	одна и та	1	1
66	самом же деле	1	1
67	в себе и	1	1
68	о том кто	1	1
69	в особенности же	1	1
70	кроме того в	1	1
71	не имеет ничего	2	1
72	т д и	3	1
73	в данном случае	1	1
74	легко заметить что	1	1
