N	3gram	Vinokur_Ku_3	UchenyiS
1	в конечном счете	1	4
2	не может быть	3	4
3	с другой стороны	3	3
4	то же время	1	3
5	бы то ни	1	3
6	в то же	1	3
7	не могут быть	2	2
8	в самом деле	11	2
9	в этом смысле	1	2
10	то же самое	1	2
11	до сих пор	8	2
12	хотя бы и	1	2
13	в том что	8	2
14	в противном случае	1	2
15	по крайней мере	1	2
16	тех или иных	1	2
17	еще ничего не	1	2
18	у пушкина но	1	1
19	не в том	2	1
20	по себе еще	1	1
21	не случайно и	1	1
22	более или менее	2	1
23	по меньшей мере	1	1
24	связанные с проблемой	1	1
25	в этом случае	4	1
26	по существу то	1	1
27	этом смысле можно	1	1
28	и в то	1	1
29	самом деле есть	1	1
30	сам по себе	3	1
31	во главу угла	1	1
32	же самое что	1	1
33	никогда не может	1	1
34	само по себе	1	1
35	в первую очередь	3	1
36	формальный метод и	1	1
37	и независимо от	1	1
38	с тем что	1	1
39	но это же	1	1
40	и прежде всего	1	1
41	не о чем	1	1
42	у нас в	1	1
43	мы имеем в	1	1
44	не может обойтись	1	1
45	ничего не значит	2	1
46	это не только	1	1
47	литературного жанра в	1	1
48	быть не может	1	1
49	в данном случае	4	1
50	этого конечно нет	1	1
51	не только в	3	1
52	между поэтикой и	3	1
53	с одной стороны	4	1
