N	3gram	Berdyaev_M_2	Morfolog
1	не может быть	8	8
2	подобно тому как	2	5
3	по отношению к	2	4
4	с точки зрения	1	4
5	может быть названо	1	3
6	на самом деле	1	3
7	как и в	2	3
8	может быть и	2	2
9	друг на друга	1	2
10	для того чтобы	4	2
11	в том что	2	2
12	не означает что	1	1
13	в тот момент	1	1
14	к другу и	2	1
15	том что он	1	1
16	что иное как	3	1
17	до сих пор	3	1
18	сих пор не	1	1
19	но это не	2	1
20	который может быть	1	1
21	к соединению с	1	1
22	так же не	1	1
23	во втором случае	1	1
24	но так как	1	1
25	есть не что	3	1
26	друг к другу	5	1
27	принадлежат к самым	1	1
28	о том что	2	1
29	той или иной	1	1
30	на то что	1	1
31	но и его	1	1
32	и в последней	1	1
33	что вопрос о	1	1
34	к тому что	3	1
35	не что иное	3	1
36	что и в	4	1
37	в этом нет	1	1
