N	3gram	Tiupa_Hudo_1	EvropaiE
1	с точки зрения	3	16
2	в то же	5	15
3	то же время	5	14
4	в отношении к	1	12
5	и в то	1	8
6	с одной стороны	2	8
7	в том что	7	6
8	с этой точки	1	5
9	так же как	1	5
10	этой точки зрения	1	5
11	для того чтобы	2	5
12	бы то ни	1	4
13	то ни было	1	4
14	того или иного	3	4
15	той или иной	4	4
16	в той или	2	3
17	в этом смысле	3	3
18	в их отношении	1	3
19	ту или иную	1	3
20	в известном смысле	1	3
21	их отношении к	1	3
22	и прежде всего	1	3
23	можно сказать что	3	3
24	в известной степени	1	3
25	заключает в себе	1	3
26	прежде всего в	1	2
27	а тем более	1	2
28	из того что	1	2
29	заключается в том	1	2
30	не более чем	1	2
31	с другой стороны	5	2
32	не может быть	3	2
33	в частности в	1	2
34	в свою очередь	2	2
35	друг от друга	1	2
36	и того же	2	1
37	в этом мире	2	1
38	более или менее	5	1
39	и некоторые иные	2	1
40	в соответствии с	1	1
41	он мог бы	1	1
42	существенное значение в	1	1
43	в одной из	1	1
44	том случае если	1	1
45	также и по	1	1
46	а также в	1	1
47	в отличие от	7	1
48	том числе и	1	1
49	в противном случае	2	1
50	то или иное	1	1
51	может быть и	2	1
52	то что может	1	1
53	как это случается	1	1
54	они обращены к	1	1
55	не сводится к	5	1
56	в значительной степени	1	1
57	по большей части	2	1
58	не могут быть	1	1
59	в том случае	1	1
60	принадлежат к числу	1	1
61	в связи с	1	1
62	не только отдельные	1	1
63	в полной мере	1	1
64	в то время	1	1
65	та или иная	1	1
66	и тем самым	1	1
67	именно потому что	1	1
68	одного и того	2	1
69	но не в	1	1
70	в другой своей	1	1
71	в том числе	2	1
72	к тому что	2	1
73	тех или иных	2	1
74	в себе в	1	1
75	к тому же	1	1
76	и не быть	1	1
77	бы и на	1	1
