N	3gram	Medvedev_S_1	Myshleni
1	в том что	2	13
2	по отношению к	2	5
3	то же самое	1	5
4	с одной стороны	1	5
5	в том и	1	3
6	в лучшем случае	1	2
7	в конечном счете	1	2
8	друг от друга	1	2
9	благодаря тому что	1	2
10	должно было бы	1	1
11	том что это	1	1
12	и заключается что	2	1
13	что все это	1	1
14	в этой области	1	1
15	сама по себе	1	1
16	и в этом	1	1
17	и никак не	1	1
18	во всяком случае	1	1
19	том и заключается	1	1
20	это и есть	1	1
21	между собой не	1	1
22	в то же	1	1
23	он различает два	1	1
24	прежде всего не	1	1
25	в конце концов	2	1
