N	3gram	Berdyaev_N_1	VerxiiNi
1	вместе с тем	2	8
2	с одной стороны	2	7
3	во всяком случае	1	6
4	в том числе	1	5
5	до сих пор	1	5
6	о том что	1	4
7	том числе и	1	4
8	и вместе с	1	4
9	так же как	2	3
10	в том что	1	3
11	и потому что	1	2
12	и для того	1	2
13	заключает в себе	1	2
14	то что он	1	2
15	он не имеет	2	2
16	это связано с	1	1
17	и того же	1	1
18	что в этом	1	1
19	одного и того	1	1
20	в эту эпоху	1	1
21	но и потому	1	1
22	сами по себе	1	1
23	воли к жизни	1	1
24	востока и запада	1	1
25	но для этого	1	1
26	в то что	1	1
27	совершенно так же	1	1
28	человека и в	1	1
29	и не могут	1	1
30	всю духовную жизнь	1	1
31	в отличие от	1	1
32	материальные и духовные	1	1
33	не в том	1	1
34	который можно назвать	1	1
35	в одну из	1	1
36	с другой стороны	2	1
37	лицом к лицу	3	1
38	не может быть	4	1
39	в то время	1	1
40	это и есть	1	1
41	все в мире	1	1
42	к богу или	1	1
