N	3gram	Losev_Vlad_2	Formalny
1	с точки зрения	3	13
2	в настоящее время	2	10
3	то же время	3	8
4	в то же	3	8
5	и т д	1	8
6	более или менее	3	6
7	до сих пор	1	6
8	в свою очередь	2	6
9	не может быть	1	5
10	во всяком случае	6	4
11	и до конца	2	3
12	бы то ни	1	3
13	может быть и	1	3
14	только и может	2	2
15	и наконец в	1	2
16	в своей работе	1	2
17	во что бы	1	2
18	и не в	1	2
19	и в частности	1	2
20	что бы то	1	2
21	в том чтобы	2	2
22	но в то	1	2
23	то ни стало	1	2
24	начала и до	2	2
25	в связи с	8	2
26	связи с этим	1	2
27	с начала и	2	2
28	как мы видели	2	2
29	ничего общего с	1	1
30	между прочим и	2	1
31	не говоря уже	2	1
32	и в сознании	1	1
33	в этом смысле	1	1
34	так и не	2	1
35	как раз и	1	1
36	не может не	1	1
37	мы не должны	1	1
38	говоря уже о	2	1
39	к этой цели	1	1
40	на минуту не	1	1
41	в том что	9	1
42	в этом отношении	1	1
43	на первом плане	1	1
44	вместе с тем	1	1
45	а кроме того	1	1
46	раз и навсегда	1	1
47	в это время	4	1
48	в данном случае	2	1
49	до конца и	1	1
50	по существу это	1	1
51	он в своем	1	1
52	в высшей степени	1	1
53	и в то	1	1
54	а также и	1	1
55	в отличие от	3	1
56	ни на минуту	1	1
57	и как бы	1	1
58	так или иначе	3	1
59	в последнее время	2	1
60	но вместе с	1	1
61	время может быть	1	1
62	это конечно не	1	1
63	и в том	1	1
64	по себе не	1	1
65	в той же	1	1
66	во всех своих	1	1
67	и в свою	1	1
68	до тех пор	1	1
69	и в связи	1	1
70	и притом в	1	1
71	в самом начале	1	1
72	но из этого	2	1
73	с самого начала	1	1
74	это значит что	1	1
75	нужно сказать что	1	1
76	со всеми своими	1	1
77	но все же	1	1
78	с этой стороны	1	1
79	но даже и	1	1
80	как мы знаем	4	1
81	заключается в том	2	1
82	в том числе	1	1
83	тем не менее	6	1
84	в отрыве от	1	1
