N	3gram	Tiupa_Hudo_1	FransuaR
1	в то же	5	6
2	то же время	5	6
3	с точки зрения	3	5
4	не может быть	3	4
5	с одной стороны	2	3
6	о том что	1	3
7	с другой стороны	5	3
8	о мире и	1	3
9	то есть для	1	2
10	можно сказать что	3	2
11	имеем в виду	3	2
12	только то что	1	2
13	в значительной степени	1	2
14	содержит в себе	1	2
15	и в то	1	2
16	и в художественном	1	2
17	подобно тому как	1	2
18	лишь в самом	1	1
19	не внешняя а	1	1
20	типа так в	1	1
21	прежде всего в	1	1
22	по отношению к	9	1
23	в настоящее время	1	1
24	серьезного отношения к	1	1
25	так и его	1	1
26	в одной из	1	1
27	до известной степени	2	1
28	ни в коем	2	1
29	не входит в	1	1
30	при этом что	1	1
31	но он не	2	1
32	начало и конец	2	1
33	именно в этом	1	1
34	в коем случае	2	1
35	в художественном произведении	1	1
36	таким образом и	1	1
37	в области художественного	1	1
38	отношения к миру	1	1
39	шире и глубже	1	1
40	не могут быть	1	1
41	может быть названо	2	1
42	подчеркнуть при этом	1	1
43	того или иного	3	1
44	в этом случае	1	1
45	и теперь в	1	1
46	и прежде всего	1	1
47	мы имеем в	3	1
48	один из характернейших	1	1
49	для того чтобы	2	1
50	в себе в	1	1
51	в том что	7	1
52	как и в	1	1
