N	2gram	Propp_Russ_2	TeoriaLi
1	не только	10	18
2	в качестве	3	17
3	тогда как	2	16
4	и не	1	16
5	а в	9	14
6	и в	29	13
7	состоит в	15	13
8	так и	1	12
9	может быть	13	12
10	при этом	6	11
11	в этом	11	11
12	в том	22	11
13	представляет собой	2	11
14	но не	5	10
15	и его	1	10
16	а не	4	10
17	то же	4	9
18	в его	1	9
19	сводится к	1	8
20	своего рода	1	8
21	что в	22	8
22	но и	8	8
23	по своей	1	7
24	как это	4	7
25	отличие от	3	7
26	в то	2	7
27	в отличие	3	7
28	только в	1	7
29	том что	22	7
30	в данном	6	7
31	еще не	6	6
32	место в	1	6
33	но в	5	6
34	в русской	1	6
35	как бы	18	6
36	а а	8	5
37	данном случае	7	5
38	как и	11	5
39	в нем	1	5
40	не в	4	5
41	того или	1	5
42	в ее	3	5
43	между тем	3	5
44	уже не	4	5
45	в самом	1	5
46	с другой	2	5
47	однако в	1	5
48	а также	4	5
49	как в	7	5
50	в пределах	1	5
51	мы имеем	6	5
52	в своем	1	5
53	приводит к	1	4
54	в форме	2	4
55	говорить о	1	4
56	можно сказать	1	4
57	но он	3	4
58	по пути	1	4
59	не менее	2	4
60	в своей	2	4
61	в их	2	4
62	отношение к	1	4
63	хотя и	1	4
64	то что	5	4
65	как правило	1	4
66	сказать что	1	4
67	за пределами	2	4
68	а и	2	4
69	не столько	2	4
70	или менее	1	4
71	не может	5	4
72	более или	1	4
73	и ее	2	4
74	в свою	1	4
75	все эти	3	3
76	не все	4	3
77	в другом	1	3
78	или в	7	3
79	прежде всего	2	3
80	таким образом	6	3
81	в этой	3	3
82	как раз	1	3
83	человека с	1	3
84	так в	2	3
85	его в	8	3
86	например в	1	3
87	для него	1	3
88	того что	3	3
89	потому что	5	3
90	входит в	1	3
91	в этих	3	3
92	мог бы	1	3
93	и потому	1	3
94	свою очередь	1	3
95	тем не	2	3
96	в основе	1	3
97	а с	2	3
98	другой стороны	1	3
99	этого слова	1	3
100	именно в	4	3
101	совпадает с	1	3
102	и что	5	3
103	никогда не	2	3
104	он должен	1	3
105	и др	1	3
106	на две	2	3
107	и то	2	3
108	перед нами	1	3
109	и по	3	3
110	по своему	1	3
111	что каждый	1	2
112	в которой	2	2
113	и здесь	1	2
114	но она	2	2
115	рассказ о	1	2
116	в литературе	1	2
117	что они	1	2
118	могла бы	1	2
119	так же	4	2
120	и для	2	2
121	о своем	1	2
122	к числу	2	2
123	здесь не	1	2
