N	3gram	Potebnia_M_3	Mirosoze
1	не может быть	3	8
2	для того чтобы	3	4
3	его отношение к	1	4
4	что и в	3	4
5	до сих пор	3	3
6	к тому что	2	3
7	от того что	5	3
8	в чем не	1	2
9	а не в	1	2
10	и той же	2	2
11	подобно тому как	2	2
12	потому что он	3	2
13	может быть назван	1	2
14	она не знает	1	2
15	и та же	1	2
16	одна и та	1	2
17	о том что	1	2
18	одной и той	2	2
19	по отношению к	5	2
20	как и в	2	2
21	после того как	1	2
22	в том что	16	2
23	это был уже	1	1
24	а между тем	2	1
25	со страданием и	1	1
26	но он сам	1	1
27	потому что в	1	1
28	том что он	2	1
29	только тогда когда	7	1
30	для себя и	1	1
31	было для него	1	1
32	сам по себе	5	1
33	что он не	3	1
34	в нем же	1	1
35	но и в	4	1
36	а может быть	1	1
37	в этом отношении	2	1
38	думать что человек	1	1
39	не сам по	1	1
40	на то что	1	1
41	это можно видеть	1	1
42	друг друга не	1	1
43	в человеческой жизни	1	1
44	к миру и	1	1
45	как в самом	1	1
46	к соединению с	1	1
47	не есть еще	2	1
48	смысле этого слова	7	1
49	не есть ни	4	1
50	он уже не	1	1
51	за жизнь и	1	1
52	может быть названо	1	1
53	и в словах	1	1
54	том что это	1	1
55	сам в себе	1	1
56	что человек может	1	1
57	не в силах	1	1
58	между тем в	1	1
59	нельзя себе представить	1	1
60	сама по себе	2	1
61	на самом деле	1	1
62	искать в них	1	1
63	то же что	4	1
64	именно потому что	1	1
65	жизнь и счастье	1	1
