N	4gram	Trubetskoy_1	VerxiiNi
1	в том числе и	1	4
2	с этой точки зрения	1	2
3	бы то ни было	2	2
4	но вместе с тем	1	2
5	в том виде в	1	2
6	как бы то ни	2	2
7	в то же время	2	2
8	и для того чтобы	1	2
9	в одно культурное целое	1	1
10	в каковом случае между	1	1
11	совершенно так же как	3	1
12	общего запаса культурных ценностей	1	1
13	том виде в котором	1	1
14	до сих пор не	2	1
15	и т.д таким образом	1	1
16	одного и того же	3	1
17	о том что все	1	1
18	одно из двух или	1	1
19	в том или ином	1	1
20	в самом деле если	1	1
21	с психологической точки зрения	1	1
22	тоже с точки зрения	1	1
23	не в том что	1	1
24	состоит в том что	1	1
25	надо иметь в виду	1	1
26	в том что они	1	1
27	есть не более как	1	1
28	а в том что	1	1
29	виде в котором они	1	1
30	на то что эти	1	1
31	то ясно что и	1	1
