N	3gram	Losev_Dial_4	TeoriaLi
1	в отличие от	1	7
2	в том что	9	6
3	то же время	6	6
4	в то же	6	6
5	в данном случае	1	5
6	с другой стороны	1	3
7	тем не менее	2	3
8	можно сказать что	1	3
9	в свою очередь	2	3
10	той или иной	1	3
11	в этом смысле	4	3
12	в данный момент	2	2
13	мы имеем дело	1	2
14	с точки зрения	9	2
15	в нашем случае	1	2
16	так или иначе	1	2
17	– это тоже	1	2
18	не только не	1	2
19	тех или иных	1	2
20	сама по себе	5	2
21	не может быть	6	2
22	но прежде всего	1	1
23	и в сущности	1	1
24	я думаю что	2	1
25	это ведет к	1	1
26	– все это	1	1
27	мы видим в	1	1
28	себя и что	1	1
29	этой точки зрения	2	1
30	дело в том	1	1
31	это было бы	1	1
32	коем случае не	2	1
33	подобно тому как	4	1
34	в этом случае	1	1
35	не было и	1	1
36	и в то	2	1
37	– один из	1	1
38	ни в коем	2	1
39	можно говорить о	1	1
40	не входит в	1	1
41	из того что	1	1
42	о своем отношении	1	1
43	перед нами не	1	1
44	точно так же	2	1
45	во всей его	1	1
46	в основе своей	1	1
47	в коем случае	2	1
48	по крайней мере	7	1
49	то или иное	3	1
50	именно в этом	1	1
51	в том случае	1	1
52	том случае если	1	1
53	субъект и объект	1	1
54	содержит в себе	1	1
55	в отношении к	1	1
56	в себя и	1	1
57	легко может быть	1	1
58	в романе достоевского	1	1
59	и как бы	1	1
60	жизнь личности в	1	1
61	своем отношении к	1	1
62	в связи с	1	1
63	как бы в	1	1
64	не сама по	1	1
65	субъекта и объекта	4	1
66	с этой точки	2	1
67	это и есть	4	1
68	картина мира и	1	1
69	о том что	1	1
70	включает в себя	1	1
71	и прежде всего	1	1
72	но в то	2	1
73	ту или иную	2	1
74	чисто познавательного логического	1	1
75	в чем собственно	1	1
76	та или иная	2	1
77	но дело в	1	1
78	в сравнении с	2	1
79	для того чтобы	5	1
80	по себе а	1	1
81	отношении к нему	1	1
82	было и не	1	1
